0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-112.84064275905571,-115.24112905389897,-116.7249211905593,-118.64173091053847,-119.39707678324226,-118.14349770893017,-118.37364018762179,-118.83590988812794,-118.12104410179614,-119.48482345072338,-119.45759453157412,-119.35908125417211,-118.95069736090915,-119.48218864365435,-119.18607246468893,-119.24410861529535,-120.17552622817813,-120.06181234040996,-119.41511678579312,-119.72715348492515,-121.1309838890774,-120.08995614394587,-120.49628279858103,-121.09043841209647,-121.27186920827725,-121.07884721673909,-120.7268780174659,-120.38972610862352,-121.20981412844733,-121.58880410393293,-120.93072161491631,-121.0490472763083,-121.82266417322597,-121.65427340848746,-122.30557291876185,-121.94818910300525,-122.36419288714367,-122.04469716561033,-122.6339218454161,-122.28364192347384,-122.3719702602543,-122.2484356752179,-123.45237592802498,-123.27644840952101,-123.28094437770417,-122.758165696859,-123.64801744330045,-124.73976596550148,-123.51639230589004,-124.26974107737229,-124.62115576784863,-125.01542835871066,-124.5804935191853,-124.76881161697138,-125.28760472878622,-125.15353464804433,-125.77299285138014,-125.28919961411047,-125.60135606166352,-125.88961125960334,-126.49367702332745,-126.69133149102359,-126.1480542353016,-127.12717184233277,-127.06680728700552,-127.57380373351685,-127.33133913035309,-128.08716829232725,-128.67229820444942,-129.00184151678448,-128.80990903519012,-129.6508269671202,-129.37967978404475,-130.0081523605538,-129.9678084826292,-131.46029893609392,-130.9910458967038,-130.45768384684877,-131.73885782913274,-132.17772315965303,-132.0082323658875,-133.2955337658536,-133.9298013853724,-133.7914272038243,-134.56694122890048,-134.6985392153048,-134.8411148193495,-136.71739571407423,-136.82379735656056,-137.65751698004937,-138.3958106269455,-140.41787146421004,-140.34473050216968,-141.7746753436343,-143.70052997382808,-144.8443954001202,-147.62823559905,-149.59593497264495,-154.54560110976587,-165.1155903872659,-239.9982627646872
-112.88772458659119,-115.03694148047254,-116.9208947089507,-118.76028582503548,-118.28954529026726,-118.62270993879977,-117.98010508074205,-118.97516132145233,-118.8121020713111,-118.69474153556577,-118.65163694291907,-119.07626004487942,-120.13388210029946,-119.5120216412851,-119.5643055206463,-119.70833994125866,-120.2551521643047,-119.47784246588756,-120.20816945068032,-120.03045622310259,-120.23060487061078,-120.15680780930283,-120.77168099743784,-120.24328841074829,-120.64503255826095,-121.33886477589759,-121.22761967509526,-120.7595066996901,-121.15425348217235,-120.94981690304711,-121.7619550966165,-121.45832419479208,-120.9981066875528,-121.98209811530391,-122.06173514310316,-121.54639482827578,-122.01939612939654,-122.21911073813693,-122.26909942951613,-122.52270234942932,-122.42069153852273,-122.89109110695931,-123.26993599078742,-123.10983510448968,-123.90929825644534,-123.1953940044609,-123.44280584253795,-123.80664970629684,-124.028857126017,-124.14501619702999,-124.90444367625346,-124.51681554474922,-124.7331251036737,-125.13433473475445,-125.36406824448146,-125.35384549372358,-125.17031131134188,-125.1350935522689,-125.69077647852946,-126.00851960572726,-125.66743414660509,-126.70233172134064,-126.8600957122129,-127.2824865087474,-127.28308469468693,-127.43751059439082,-128.00037365704074,-127.44190914263721,-128.16885922745004,-128.35563531168944,-128.99477324667473,-129.5298227857005,-129.4354822731267,-129.68757766787994,-129.87476739350888,-130.8884049329824,-130.93505248229465,-130.96270206658397,-130.98368212368575,-132.24553242589,-132.5877154074579,-132.24096592509227,-133.14867968196063,-133.47517524402153,-134.43938405989172,-134.60050889118978,-136.1114309263064,-136.63267152406158,-136.31188915734486,-138.00283560462918,-138.25517307406093,-139.7298736576358,-140.84133891269815,-142.238813986062,-143.5867350841258,-145.12526804776556,-147.0224710093293,-149.90223056923602,-154.60591687211826,-165.20693987918256,-239.99796080617133
-113.1968788142255,-114.12084584229414,-117.24382630097548,-118.18608114006861,-118.81295419168958,-118.84634400062616,-118.8447168987789,-119.24748807524078,-118.85467931938307,-119.1179153141479,-119.62576401657302,-119.51816815229367,-118.93723371553531,-119.22397280008849,-119.7750784794749,-119.65986846439246,-119.25460377663182,-119.87115067582857,-119.43074766919962,-119.94235641957935,-120.92852809865639,-120.53033739326827,-120.48913472514721,-120.22460711934839,-120.19055255298309,-120.44269679178015,-120.93074445950454,-121.06447421624405,-121.52515612732078,-121.3941241276607,-121.51886979617802,-120.88680214326118,-121.4331459763016,-121.89575047903925,-121.56299363526438,-122.13167260930204,-122.2263341078435,-122.68845499874618,-122.70731091602521,-122.44862820701276,-123.06223432011377,-122.61391417406219,-122.87723164405207,-123.15811287323794,-122.91247376136016,-123.51493924084009,-123.47509597050431,-123.72745850785107,-124.32171435715598,-124.20449855655023,-124.19215239907317,-124.13704592400146,-123.88718279360744,-125.44453573948863,-125.07969934520605,-124.5022922138262,-125.60552037522724,-125.9063935462942,-125.8998330549224,-126.3887535253317,-126.12697785913429,-126.23052106583121,-126.7848224471334,-126.69567118986251,-127.55185632469365,-127.19131181457995,-127.52380674249972,-127.97870693714032,-127.47247065152408,-128.76741559271645,-128.7452442995059,-129.2878410168212,-129.3093117775551,-130.06706964006625,-130.47009074081654,-131.25233932440727,-130.67654818433883,-131.3802047508883,-131.42278206892578,-131.4474219162485,-132.34301907276227,-133.10285423252074,-133.6964830526459,-133.5071318825612,-133.93783786480415,-134.86029130090614,-135.7200581612775,-136.1750100714626,-137.3742320120589,-138.1870034125937,-138.87823880293936,-139.31702319085582,-140.4035913843698,-141.26478225074214,-143.55258976441812,-145.52011811894647,-147.07864254794305,-150.20104619961896,-155.54443910070972,-165.52563577465688,-239.9979656963729
-113.15116449593874,-114.88629493461151,-116.84672147457596,-118.57643459972161,-118.06498437458563,-118.70883648209106,-118.6689290065593,-118.59511718832566,-118.94274941845201,-119.13556038957732,-119.28763834282346,-119.5961952684432,-118.97231570529802,-119.96886861442644,-119.83570422618502,-119.54238041618717,-121.266217353377,-120.19905784384791,-120.03775233163182,-120.05842552373261,-120.70760614409781,-120.60466317369846,-121.00139861695037,-120.58641860364358,-119.95367462755718,-120.60527093504564,-121.00019300916463,-120.93594163918546,-121.12846533956699,-120.76409619388286,-121.07152885171814,-120.66353661559931,-121.58084796804361,-121.25697286348755,-122.59919855482839,-121.58057316278595,-122.51787191362311,-122.62571060587639,-122.2014757568381,-121.90238337190652,-123.19899806061693,-121.92166150742212,-122.50034190826322,-122.95651160795299,-122.78749118825088,-123.60334554864971,-123.39171401638359,-123.74237181719575,-124.01343674560393,-124.2273514219147,-125.11853980443223,-124.02872874377589,-124.6858802648484,-124.41720059366209,-124.68257247210224,-125.33380872423135,-125.00883174541629,-125.58935398836562,-125.80811604744686,-126.28032478774237,-126.46205077725394,-126.10863641032738,-126.27559876976757,-127.14549297223678,-127.24190473446019,-127.37637372426319,-127.8422416530894,-128.27256357161477,-128.77388624830706,-128.9611436233873,-128.68729548700244,-128.53236295949733,-129.77742499189736,-130.10618306965992,-130.31374934150108,-130.34280960230865,-130.66066115948067,-130.4840157975629,-130.79365636381772,-132.03903532919918,-132.1755460814367,-132.61284641360248,-133.5052340078115,-133.46005114458703,-134.70924412552216,-135.52211254266334,-135.09779433261875,-136.31333705312434,-137.83089456008506,-137.83853270252138,-138.05078512727073,-139.45059713413264,-140.142329486342,-142.2685597917595,-142.8349023858672,-145.1828843003947,-147.57885688435192,-150.47073245134845,-155.68313788861437,-164.9045258944447,-239.9980138567564
-113.23384775851258,-115.17968279735766,-116.5748429246089,-118.89342183458929,-118.40988583565962,-118.90582723291685,-119.20852740385544,-118.79816842722923,-118.13148191513795,-118.94151607410765,-119.25877977500166,-119.21023968618798,-118.90799532941097,-119.22253371352173,-119.25028280241611,-119.38526117687077,-119.28085897010969,-119.78137772296928,-119.73719167285792,-120.17932252892999,-120.4534222379936,-119.50377535039006,-119.70916347535982,-120.28555294808123,-120.93646541302284,-120.9235096764467,-120.57069541288476,-120.91703269055537,-121.1137801350515,-121.3148109513418,-121.55563912963134,-121.54819214148925,-121.69976354423721,-121.63805958885158,-121.89565039634873,-122.27526784338079,-122.21164316385251,-122.32328616784893,-122.33038824568101,-122.22847580629767,-122.49508374176042,-123.2440188383459,-123.02373927476356,-122.8107030398524,-123.22604844609766,-123.63990768369631,-123.2864055315208,-123.71205778669797,-123.84076308361158,-124.28525516405327,-124.27960599266248,-124.47480961812037,-124.49206252959682,-124.41055465816606,-125.28707200376108,-125.72625912576382,-125.51280594578859,-125.18649292626276,-126.21742473456798,-125.73165984808041,-125.99779107911203,-126.92785508067219,-127.12029813862911,-126.53470498298249,-127.47195233718908,-127.87546404499209,-127.93458726835587,-127.63345374201113,-127.58182731727325,-127.98648209713075,-128.50811454675892,-129.74751841102105,-129.3153418121783,-129.31891503580275,-130.2613907291148,-130.57533418486355,-130.86375346055527,-131.07739922719236,-132.16062873290193,-132.12737046367076,-132.2103418912403,-133.4055213716599,-134.06514507437998,-134.13351841147292,-134.73486294125055,-134.60683288736425,-135.45639437326358,-136.54216121822597,-137.34358333998227,-137.61275746215003,-139.07767480945995,-140.25431218478533,-140.44030776964777,-142.4663644620584,-142.50953483971023,-145.5032767490327,-147.34161262629593,-151.0428393689729,-155.63447913438108,-165.02603557904672,-239.9980252876042
-113.166668263216,-114.99519201090432,-117.33038547793117,-118.85999356305132,-118.64432153759759,-118.69625444843044,-118.32439339917022,-117.9041720494018,-118.10003296283548,-119.24034476526003,-119.31916108349586,-119.4138430067062,-119.3392442527188,-119.26716633759153,-118.86656248391104,-119.62676173988834,-120.26784858790887,-120.00660771272095,-120.08714631294363,-120.62131036193621,-119.66847702131528,-120.80655264654915,-120.75111807927608,-120.32045847625665,-120.64425738539103,-120.60668389021812,-121.28070573560854,-121.37382032365346,-121.28417317652463,-120.8753373850894,-121.64047805044468,-120.97614661421551,-122.10195114941618,-121.63317803227673,-122.61847748682436,-122.01353191501494,-122.05749937232585,-121.89092109157953,-122.19522716809244,-122.21021759930024,-123.09220179413484,-123.05900913980928,-122.54806378418634,-123.20332051740935,-123.51035891426481,-122.90262527070817,-123.62860902055243,-123.9797742024904,-123.66828879724511,-124.46515974348658,-124.41526002584125,-124.06653624433373,-124.00170796048167,-124.668484198915,-125.06343420586359,-125.48586091863862,-125.10455075103822,-125.2680398263206,-125.55338208740369,-126.41128254310107,-126.37653268287832,-126.91556736080254,-126.91365952608436,-127.03110702857371,-127.53628652807964,-126.9883995188867,-127.34887288997132,-127.856987406053,-128.35752302187697,-128.7865487578921,-128.15130083531534,-130.0166925349297,-129.9062808153039,-129.62692466404206,-130.10189932316075,-130.8508371099751,-130.75775766863143,-131.1494456139625,-131.71432284458223,-132.12776349439926,-132.90184499269247,-132.37869993725675,-132.75153808076425,-133.43071542945864,-134.3351631489985,-135.34044544212483,-135.7503961596223,-135.69770060069868,-137.16856782316015,-137.2120262514631,-139.24162563461084,-140.36020019084003,-140.57858328336908,-142.0038613857179,-143.39408489000476,-144.99826571207367,-147.88051122586972,-150.46153388626666,-155.0267123002575,-165.15261213099257,-239.99805187292702
-113.20908110630282,-115.18087300354946,-116.93262869013549,-118.30347755619493,-119.19353645104104,-118.22011664308326,-118.64329930253359,-119.08970721675742,-119.12636794666517,-118.71634229251593,-119.33504206089275,-119.32868089401289,-118.64001905652773,-119.67590578794396,-119.52731897460444,-119.79718935251867,-119.9050715465694,-119.95438447451397,-119.88622024752696,-120.20245287773415,-120.24084579842383,-120.4024319272855,-120.73650303624517,-120.7233207979633,-120.22352725974494,-120.4773411905461,-120.93770320273205,-120.76210185688915,-121.5344009343731,-121.5799493270919,-120.85388860513467,-121.14355540359583,-121.70593058370753,-121.88559032464913,-121.67691019576151,-121.77538928250947,-121.8243249465434,-122.12912476821485,-122.58427302900502,-122.76904662851761,-122.72402376785249,-123.01240713526408,-123.01311706046083,-123.08986558910638,-122.75105853877027,-123.67826140080199,-124.10986515263198,-123.83847708412743,-123.64467285491571,-124.42193888208817,-124.34380492724839,-124.65165335093215,-124.83804399108968,-124.82361850697401,-124.39134313098472,-125.26221959668378,-125.6745211786825,-125.65376075681583,-125.58840010371198,-126.04727812155745,-126.20999589254595,-126.47068789704873,-126.04445855145163,-127.04562965401324,-127.85920903151657,-128.34935076133854,-127.32679225053651,-127.63811636774359,-127.65802040484517,-128.4622105158256,-128.24293950964437,-128.72448282754587,-129.54969706243747,-129.45927847623872,-129.6016941593731,-130.29182055696216,-130.52497536200624,-131.19271029777323,-132.17738655151356,-132.31986147885104,-131.61943762834872,-132.81464296367278,-133.63073315795089,-134.22755245924444,-134.01974903527613,-134.9242702295083,-135.75052501005146,-136.17426562753056,-137.0326714780124,-137.99867826565296,-138.41044613252,-139.52941262869533,-140.67635588856083,-141.9784753594883,-143.84001562688152,-145.2904833071337,-147.69781210083804,-150.9733902779081,-155.0518706423465,-165.06171950494252,-239.99795396009316
-113.08258066660414,-114.96246973822755,-117.48901829576916,-117.94899063328121,-118.4356878786965,-118.4719955589349,-118.50726452417136,-119.28947015470094,-118.98883772703103,-119.3120552692721,-119.74364960958832,-119.40484323273813,-119.508502650028,-119.29089348188604,-119.25711638283865,-119.65540492743354,-119.5797273912682,-120.2034547937294,-119.94023468656108,-120.11397220611288,-119.96514031863568,-120.48206192760824,-120.66889644703386,-120.06165299578781,-120.81368072900074,-120.40718211989049,-121.11306806710395,-120.81203136811118,-120.73171213741254,-121.0780286941207,-121.91323325687358,-121.35472535034363,-121.1384627141949,-121.7396296479411,-121.96204848980146,-122.43217639897604,-122.20294785156749,-122.76478336818218,-122.23509618027984,-122.88634027337343,-122.95195096084642,-122.88331147071958,-123.06877227684667,-122.94300814849197,-123.48941354107176,-123.62141859910322,-123.73951343441568,-123.75840608197444,-123.78287157955552,-123.8731185761288,-124.38105270537247,-124.19998728531756,-124.23417283998461,-125.33869326729129,-125.06308740851762,-125.52665313472203,-125.64444838075231,-125.38145951158698,-125.66594489581938,-126.7338133534147,-125.86632817845984,-126.67159518922382,-126.97680694746238,-127.38022278737019,-127.82248537883835,-127.6820815131372,-128.30038356074738,-127.86497455993789,-128.67197107713525,-127.71559819286291,-127.94577064987261,-129.46108659041798,-129.30762724212514,-129.1843007162439,-130.52512377304217,-130.16105153930738,-130.00953062159618,-131.54099277723628,-131.41208822395234,-132.3600214676806,-132.07988850208858,-133.11436675473746,-133.15850959588983,-133.3395186356995,-134.30103519930634,-134.72178901405354,-135.5396426737194,-136.3141249691077,-137.5507797048719,-137.87433561796408,-138.80262127420042,-139.65319244203843,-140.53950153244583,-141.88187567514407,-144.00183236312105,-144.34861887699608,-147.22912603093735,-149.9914907480337,-154.32064417114762,-164.63966561120552,-239.99810359124606
-113.31933852863733,-114.47342191606435,-117.2027430062394,-119.13348242380565,-118.33393477944774,-118.32073288966058,-119.31944578205845,-119.59550153057151,-118.707973749812,-119.28941849533692,-120.17667078731517,-118.15986208670583,-119.07073007829989,-119.63232265989488,-119.89594798967514,-119.69198290820046,-119.27516336848207,-119.57493654133674,-119.7601643241093,-120.05225192316678,-120.26046838074302,-120.29708265759231,-120.45926587952005,-120.43258045911656,-119.9425350065009,-120.80739293480275,-120.6843290567206,-120.64664569523084,-121.6428901827492,-121.23737467552324,-121.68701447793353,-121.84674718849926,-121.03168344573497,-121.70167234105725,-121.50083052609922,-121.67478585477426,-121.79748928032791,-121.74010361879994,-122.30694832702841,-122.75412904099515,-122.82123105127489,-122.94996286899668,-122.79921796529345,-122.64859912299178,-123.12791352451555,-123.21475777358056,-123.62289589496118,-123.66805557444789,-124.07512269534253,-124.4731758689663,-124.72261611253997,-124.62475103736544,-124.66916104070503,-124.75527429228653,-124.9367963566676,-125.18697903970238,-125.80802063843574,-125.58678409812993,-125.51307581882521,-125.89621153948946,-126.09048114622557,-126.19227665170678,-126.2181855688604,-126.70679580764282,-127.12432541134164,-127.13959145736796,-127.41970319712446,-128.0078391382419,-128.4203481834548,-128.50988388758475,-128.99733188968904,-129.02057533953754,-128.91130240109428,-129.3819217490891,-130.80974746957776,-129.958028430925,-130.59615603099522,-131.67191924173258,-131.89599813305247,-131.77646419426029,-131.87625324563686,-133.02458047083132,-133.5759904314858,-134.10023776939676,-134.37342898909506,-134.6699522353846,-136.0673732804204,-136.20980530478076,-136.29795587175138,-138.15279900554614,-139.3120399300574,-139.52625301448995,-140.52676891394506,-142.11342544768246,-143.12333341875282,-145.12311614827206,-148.19250862989043,-149.717846731541,-155.14746932412254,-164.92661067203747,-239.9979525558358
-113.14075207491257,-115.45131333832163,-116.8375121369099,-118.30341352183342,-118.86146263320961,-119.66866174082509,-119.33454678667898,-118.17362544959359,-118.94190429105315,-119.06922850275708,-118.78631074767782,-119.63834632473367,-119.30934328883193,-119.90666691732874,-118.86692099255079,-119.2714327230816,-119.74586491846046,-120.01320220139883,-119.7074593611396,-119.47068574540523,-120.28534695197101,-120.34460834876614,-120.86404586383267,-120.39004217908436,-120.59817475363091,-120.2456932025355,-120.92593750825945,-120.81111646907554,-121.06286162112147,-121.32322901158373,-121.20739964604331,-121.6853699132283,-120.99416652520046,-121.36861875372671,-121.70954600424102,-122.24385459071172,-122.47425989271443,-122.02521772037876,-122.96301644113754,-121.99136260438799,-122.42926294302244,-123.43217543866167,-122.50451134038252,-123.11543286436842,-123.32157027798547,-124.25577777119226,-123.20262549655745,-123.44706999821699,-123.58297970497921,-124.0250943229539,-124.62195711314901,-124.32533921481354,-124.99385975364194,-124.73393724706183,-125.34552539243616,-125.06723309824093,-125.33811487462978,-125.87042324985163,-125.44244780710554,-125.8932490087495,-126.49851660487954,-126.73991762051332,-126.56499224749896,-127.23175430389401,-127.28292831320887,-127.4130214361273,-127.94737817800915,-128.07259283475636,-128.52288255711585,-128.37818971854165,-128.84446854997526,-129.5196768085432,-129.0613586369337,-129.9515284574579,-130.27837342383347,-130.00375454766632,-130.77736502142994,-131.00722033639786,-131.40873956892244,-131.56111499741888,-132.4592161632617,-132.50306216505888,-133.27113269513765,-133.94052285591096,-134.2896070236877,-135.26904303322038,-135.39224649552753,-136.5497615023885,-137.17099082762346,-138.57027230490738,-138.6697212988524,-140.10042019966156,-140.2819487443239,-142.0870143556535,-143.347478955164,-144.48279752610347,-147.37054936614277,-149.90950241542868,-154.8405356531354,-165.5039494508972,-239.99793441535755
