0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-126.08346462086452,-128.15816846731016,-130.712893154502,-131.78182087438935,-132.01902728322247,-132.80201365157671,-132.8627357732304,-132.69993774363778,-133.0217244216864,-132.59408232440643,-131.8920127807941,-133.10669375879357,-132.29713984857523,-132.30053773155285,-133.29665715030853,-133.52111779913275,-132.9645434264848,-132.71820874899086,-133.0845412489344,-133.18484155172936,-133.56756164545268,-133.55528458259886,-133.63028266399098,-134.04723242881334,-134.25190056224807,-133.55559146914842,-134.29523319664244,-133.57884312212846,-134.06072356268206,-134.7070206820255,-134.677670622484,-134.66808303333173,-135.7187532377228,-134.80132153637416,-135.22795715687874,-135.27643238818683,-135.8426215597784,-136.09586411686902,-136.11938200173705,-135.83699396026037,-136.4131107284368,-136.41866528013108,-136.16083503205812,-136.59816227740953,-136.86037895937622,-137.02276726909275,-137.3602294816922,-137.76049664324358,-137.04783534079388,-137.73229964501195,-137.7228384960841,-137.62388773476673,-138.07859870261387,-138.23648330797312,-138.65279765542414,-137.83671632790424,-138.5201156330498,-138.9076055880145,-139.30630347488605,-139.52473962438654,-139.5548583388249,-139.5880972241135,-139.52334199546092,-140.65166135728307,-140.59261541321578,-141.24270974167268,-141.4966571053117,-141.3439712250896,-141.93499946585777,-142.0666970403384,-142.69905447765362,-142.32221398200213,-142.97348977283065,-143.23321716778366,-143.25251415395408,-143.55224407369704,-144.37476496079148,-145.0103054196202,-145.02194843136337,-145.07694204644804,-145.37281172986584,-146.53599125541024,-147.0525028782766,-147.3161189462308,-147.7902631090061,-148.80960141461958,-149.1878480691884,-149.6197734968749,-151.2077905876347,-151.06668828124043,-152.52505596749413,-153.2394480710719,-154.79047413209335,-155.42895835946854,-156.92068772892137,-160.0188437436619,-160.50737304016843,-163.40723434788285,-168.72612092269057,-178.78591999985534,-239.9999610783097
-126.93843250842563,-128.48975565714767,-130.0135535169005,-133.0252212159063,-131.4934892132029,-132.94128523680607,-131.91127008559093,-132.31238725344318,-132.243376950395,-132.1077131078983,-132.09099764111065,-133.03639602746915,-132.59485345288144,-132.53354598446464,-132.86747648752925,-133.57252116147464,-133.99730077922501,-132.4995812532134,-133.07695610861168,-133.13590176190777,-133.21532173143666,-133.95138162128558,-134.13023655978975,-133.82920604250597,-134.36066435134848,-133.93362450921077,-134.32909334999243,-134.7086993712065,-134.23755126761213,-134.85197213628334,-134.2459660891334,-135.1093584399036,-135.41986381767418,-134.65587108130376,-135.14693516920823,-135.22261248576854,-134.98047514049892,-135.75717714717123,-135.65885208928083,-135.7374822757796,-135.72022325637866,-135.88217698895497,-136.55641082950874,-136.30813892260034,-137.25837082281038,-136.81273073620795,-137.43145315478813,-137.3188292877888,-137.80532154572055,-138.15975405429108,-137.69977310151162,-137.95918865055174,-138.7182048668809,-137.94263450111086,-138.82764981688777,-138.90341147002204,-139.0113963617633,-138.93829951556833,-139.45472390489041,-139.91834290015842,-139.70258237470438,-139.7666457139271,-140.01501129053244,-140.72971839698312,-140.93276082330155,-140.7848373674973,-141.38345255479393,-141.08169212689364,-141.6141116115961,-142.40052228165777,-142.10480639516328,-142.16058289027555,-142.75271129976008,-143.32464069393265,-143.45507134997928,-143.76428516620288,-144.66195391510524,-144.68274242370742,-145.42617511922415,-145.83108070893095,-144.97526349587292,-146.08764477342558,-146.73692979761248,-147.93940141352567,-147.75068292904933,-147.95224149211666,-148.8561754635184,-150.42897569273848,-150.19826028449972,-151.63049975960482,-152.1185065270885,-153.46051918219788,-153.98719270967754,-155.43347303184447,-156.87259829431864,-158.21103745731787,-160.7207210641052,-163.58914615152912,-167.5220726012866,-178.16220217162643,-239.99996462956065
-126.23288182677074,-127.69690037280849,-130.81052601603474,-131.65111989791282,-131.0853680275198,-131.70255604587973,-132.6723906709927,-131.7820085243943,-132.500944705515,-132.53752777386777,-132.55909924302122,-132.95861540233898,-132.56493623382735,-133.66943910246422,-133.07088700644127,-133.41963852345233,-133.8923603458367,-132.6626862892447,-133.6931780420147,-133.98560757192433,-133.5440356950525,-133.40009374413125,-134.75698376066177,-133.78185866792467,-133.685557010148,-134.06241300730505,-134.2213414407452,-134.4690082355536,-134.34100188070687,-134.34017587532136,-135.08462046220959,-135.0733059979708,-135.04227798240544,-136.01642456546878,-135.16613904753714,-135.6412269053924,-135.5089905394352,-135.69362109953596,-135.60007619984623,-135.49247667557302,-136.66782806719527,-136.56255602410735,-135.8020845720437,-136.85975095111255,-136.17825638928971,-137.1639870083246,-136.9993938559461,-137.44680481707223,-137.74607831902648,-137.67697921349918,-137.67948632336436,-138.6938811646771,-138.2303364210741,-138.69437795507696,-138.98411418409842,-139.07656667587577,-138.73812933320144,-139.309424835857,-139.05110887097945,-139.30634679685173,-140.20182056061248,-139.82316757766634,-140.27633661774234,-140.35282510309202,-140.52879277247297,-141.2443070442637,-140.71008065663713,-140.9776925842426,-141.6083015861634,-142.12685838323532,-142.43283936600727,-143.049650335128,-143.2815733320353,-143.35371603234458,-143.0582806674906,-143.74492274113973,-144.46912899054232,-144.8279663854627,-144.65538148600996,-145.3530881833482,-145.89728990775606,-146.1560467714421,-146.50914608192505,-146.67438892917448,-148.35730262661127,-148.47184502869752,-149.03961579953597,-149.44209392813744,-150.4843934162175,-150.87220876383103,-152.69364464869034,-152.9702999080407,-153.58766868597095,-155.6160592827977,-156.68265288877149,-158.946606731587,-161.91803320159312,-163.33264720571512,-168.60630742618105,-178.5003016234807,-239.99996123635185
-125.75206650565795,-128.99325950311274,-129.84399228138142,-132.16584220513067,-132.5837129034377,-132.70173226924973,-131.94628053422377,-132.06078812849913,-132.595868738637,-132.73985169460718,-132.6404977815793,-132.65343268063745,-132.8709688411433,-133.04613021325238,-132.91813286267464,-133.31639647742278,-133.03766480598404,-133.52300886156868,-133.16613468461154,-133.43822192978888,-133.85614354779696,-134.11272919629212,-133.76602860180168,-134.29540276399177,-134.02659989731202,-133.58589962678286,-134.35154200255786,-134.22787327537048,-134.47880951181622,-134.78500741731557,-134.48117526495588,-134.4477938051203,-135.48532472988506,-135.2854866393894,-134.96658602001395,-135.99446756831227,-135.78690100264166,-135.75351408535542,-135.52304413508537,-135.9777481196521,-136.15509791578756,-136.059491829755,-136.49261610666326,-135.88336458245848,-136.7979220019077,-136.87969485060475,-137.07048586008872,-136.983287505807,-137.08547543811304,-137.51379460670432,-137.20418492295912,-138.23203827921495,-138.0507696956556,-138.49640774852435,-138.55003046787266,-138.49572999421164,-138.94744063188875,-139.0481131244555,-139.51429328861553,-139.27562981230875,-139.06878499473012,-139.46904786754882,-140.39923983499324,-140.39556646351522,-140.98469830975392,-140.88874462592239,-141.33944076364463,-141.3067810286854,-141.49577362636737,-141.48072760190678,-142.26202667358768,-142.24630975468693,-142.467357101651,-143.11784748804592,-144.17371715453004,-144.0674584419966,-143.78818596947622,-144.52154102246396,-145.20921096932446,-145.0456480961279,-145.56128625908917,-146.7085038877152,-146.42860572818955,-147.57138466049395,-148.00144716046432,-148.37129854230278,-148.82454892596326,-149.85660327257145,-149.59392293934425,-151.2110633409388,-151.45095122107253,-153.5200218813218,-155.01945850793842,-155.538570739217,-156.29262742928447,-158.1264630682882,-161.21062854584108,-165.4752261764052,-168.88199859465738,-178.81755803659945,-239.99995765191682
-125.84659460184008,-127.63766185793168,-129.2875217287328,-132.28929320073848,-132.03642825025796,-132.36420295899867,-132.05655628173244,-132.6204167745165,-132.1370682097691,-132.08148662418293,-132.64488556969266,-132.02168489927362,-132.73389489315085,-132.98611265412399,-132.56574305372067,-132.83773124224766,-133.0353668351783,-133.5679897673803,-133.91229110158315,-133.44116377838043,-133.41362609048653,-133.6757924466245,-134.0072485190124,-133.39429910399426,-135.18202440033753,-134.47266515589786,-134.86104192588186,-134.06038584091763,-134.94692399970864,-134.56987300349823,-134.58123469283638,-135.13231022259384,-135.21316935493772,-135.28284450627132,-135.1968889414528,-134.99102171865715,-135.9078926519617,-135.86192013095695,-135.90006468000644,-136.34897307840492,-135.71931782428382,-135.73039467719087,-136.88763839892206,-137.1656724846511,-136.40538926776262,-137.10739596745287,-136.89115882817967,-137.3460958440106,-137.44695698116718,-137.79858884377964,-137.2205789609509,-138.1542669593113,-138.02481604102357,-138.57046377199083,-138.3870436235935,-138.8853517831515,-138.83353729775388,-138.81655169254677,-139.65714756287892,-139.29447888712542,-140.10193902262634,-140.28921576459106,-139.91081336869132,-140.650256024128,-140.73318368713294,-141.33193886517248,-141.3070898627882,-141.0672596544213,-141.98504019404697,-141.77413066009743,-142.16568525473141,-142.95720281241333,-143.215659271822,-142.89713410732026,-143.18021855078834,-143.68719833901898,-143.40111263712924,-144.64939778682628,-145.40773026826045,-145.53081113019735,-145.5364281199861,-145.7056832366536,-146.49832342210283,-147.16285041563955,-147.32624671732964,-148.4314169470326,-148.2829770880063,-150.1441426365324,-150.576851071938,-151.12262694367357,-152.43053556406565,-153.2788352476274,-153.97635942910915,-155.43289728731975,-156.4970707524521,-158.74089624853897,-160.473749590103,-163.95424975046515,-169.43845575550344,-179.0262439122978,-239.99995995073436
-126.31399299932654,-127.94432730708193,-130.21571130950403,-131.7432217271512,-132.2748269282132,-132.0716040315795,-131.45542049580445,-132.3607711963039,-132.98352847953737,-132.62994097019808,-133.2027733271779,-132.82060609562382,-132.82369033136334,-132.98719026536537,-133.15945105248863,-133.2491552691078,-132.79176583054596,-133.49915146469203,-133.25401351653107,-133.93141331776314,-133.6174907882823,-133.75430892762344,-134.10503106605057,-134.1569772408315,-133.93243235620375,-134.2517703732673,-134.98291001569555,-134.39732663004295,-133.8265429865114,-134.46685269265663,-135.01453800111332,-134.90530760912694,-135.25729122882544,-135.2911048100939,-135.57768907360895,-135.89484693974012,-135.6907793249766,-136.1774747639066,-136.38635451151157,-135.80630308569877,-135.63078471125422,-136.06622057626316,-136.79673526226478,-136.6370493014799,-136.58772834288115,-136.80426049402453,-137.35114738125057,-137.34413338832968,-137.30506211310092,-137.591613062903,-138.06097926773043,-138.12663626005047,-137.94653566322532,-138.17087857495736,-138.77523785444444,-138.5446396989362,-139.1082282618723,-138.84856239770644,-139.52248193785914,-139.2026362310105,-139.52939069450005,-139.88637640336287,-140.34547809067675,-140.3471156647439,-140.2225516751893,-140.50577423006797,-141.10217688166426,-141.12604047380376,-141.81850985368092,-142.31074384326416,-142.160115827989,-142.70982949569063,-142.68366050397006,-142.78840559281858,-143.13351214822063,-143.92397281175653,-144.63263602521425,-144.73838586144032,-145.42057272497982,-145.47845102347696,-145.37446093633767,-146.27628141664746,-146.8739977238186,-147.4169406278985,-147.44938068671652,-148.83339032728352,-149.6007414360838,-149.74252204772395,-150.5687288628569,-150.95434686685016,-151.61374390628055,-152.86657261840378,-154.22528382752108,-155.48360815231405,-157.7304822137042,-159.50606472096817,-161.3463393462991,-164.183411522226,-168.6640495608243,-178.61025672671317,-239.9999591209969
-125.79255235613117,-128.5155958849041,-130.4155226425725,-132.4189027214853,-131.8545521098403,-132.42238395301126,-132.28141354704903,-131.86599997695592,-132.52465237423047,-132.26624908312084,-132.46669215151007,-132.31376888410404,-132.85833964075388,-133.48637509678125,-132.95295496912723,-133.47747290864922,-132.7423882403098,-133.02190220857102,-132.70715982892045,-133.25053863542104,-134.13995255592283,-133.91434663216862,-133.91226661133788,-134.17889033351761,-134.02068272703212,-134.36661192724367,-134.14971536172726,-134.56956577492642,-134.3677813210007,-134.93313803154535,-134.74799276050697,-134.52030682271777,-135.07207248862176,-135.1000255087954,-135.3320143940814,-135.93680872568436,-135.1811257810885,-135.82405539377535,-135.9631959951419,-136.09017920682942,-136.16006593794972,-136.3066853197052,-136.52937730794085,-136.43309985499985,-136.46917097887322,-137.16464973718777,-136.87921374463878,-136.88913990933867,-137.0248451193305,-137.48598501046465,-137.9347125005756,-137.8828033489912,-138.67085115004747,-138.68269600340494,-138.1347988757556,-138.64994221899124,-138.65609101558604,-139.31555736725562,-138.9468197312086,-139.03749578414926,-139.49305022384542,-139.72546656876983,-140.3168635142131,-140.53951709955618,-140.81723709577054,-140.936674356448,-140.85798808648002,-141.64002287055638,-141.78012342406657,-142.30269623665802,-142.1025893688888,-142.9945561925805,-142.76636384711904,-142.7249580537885,-143.79308236061885,-144.35762651928556,-144.33514600055335,-144.3259245356793,-144.9005662925619,-145.5140180932525,-146.36387500504685,-145.92020977129624,-146.88301784611053,-147.65864181640876,-148.91962636479434,-148.41129245046653,-149.33190980331042,-149.83063267144968,-150.65249164911398,-151.65704263710938,-152.6568811244174,-152.6326944097602,-154.29671580309588,-156.04646452624425,-157.438686089469,-158.84483096631666,-160.0174086295351,-163.57594252178887,-168.60437153655147,-178.95802003649,-239.99996137753655
-126.52375253478611,-127.64991085119955,-129.9331799813171,-132.04588750766172,-131.89506701432754,-132.25778071081638,-131.7641571554897,-132.42660647033193,-132.4236283784012,-132.2300992554892,-132.40229507242816,-132.4364934691833,-132.0115430832805,-133.00930488244882,-132.4431552529698,-133.11203635440606,-133.2773176659867,-133.2783533391192,-133.13489063197966,-133.88199839524592,-133.88164894643222,-134.18482949690022,-133.49390571210364,-133.688775423265,-134.33342738230783,-134.21580156425392,-134.75649164961993,-135.02262698620535,-134.9544847655744,-134.86742158312572,-134.99605107509208,-134.59134161093786,-134.57789259799398,-135.1318698257811,-135.25034268201838,-135.97864396640355,-135.80857027927328,-135.67250324185736,-135.86996496705072,-135.89230612239115,-135.83984123258057,-136.58273977475568,-136.61617898712865,-136.79155406907415,-136.8682807592743,-136.91488346804542,-137.20471986826936,-136.96831672522464,-137.11504089333792,-137.29258757367919,-137.32630503958458,-138.19518187680248,-137.9427636729285,-138.16292563826502,-138.1801531119375,-138.8886005656452,-139.12030368702315,-139.01430447694304,-138.97893126594926,-139.03486142355018,-139.97549894912694,-139.76920328967228,-140.2850867891173,-140.53963480381734,-140.95467696053808,-140.58936549092778,-141.13082513657176,-141.26153580760146,-141.21253218905161,-142.08522526561174,-141.90900908690793,-142.77246198047794,-143.2436831334264,-143.37427244591305,-143.99880848526226,-143.41749498995347,-144.2059595378473,-144.88387105988508,-145.91015665528178,-144.98165369836374,-146.023931239414,-145.71496294784765,-147.11373587863227,-147.4092393682544,-148.0108842370128,-148.34241157340855,-148.93657000981813,-149.47756137499033,-150.67882223083782,-151.66224098695477,-151.83858742163355,-153.45582210936752,-154.22248886810215,-155.5697477568535,-157.37085048117794,-158.72863903105332,-160.1829695863003,-164.01852352685233,-167.9370957124795,-178.16516184300414,-239.999959566628
-126.08978411184565,-128.08525100135614,-129.73625555031015,-132.32257355755135,-131.5290592059866,-131.08948995780557,-132.29801612222073,-132.40548840862692,-132.42025810924352,-132.85083747970447,-132.4841887952081,-131.99561110231426,-132.8018410303461,-132.95934622475414,-133.49156786920753,-133.20514505188834,-133.30600702856697,-133.38174846798063,-132.9893317401607,-133.44441593015196,-133.95039936931656,-134.0259477124548,-134.12668690076654,-133.71315421697355,-134.24303586927124,-133.61430267803436,-134.05620965868366,-134.41251755720714,-134.4934090144237,-135.15498219896986,-134.66761828854695,-134.5568577872795,-135.10020991056987,-135.0912143078704,-135.28767161212954,-135.1454464312876,-135.61986519714392,-135.69761674266047,-136.16943566306603,-136.10690546353183,-136.5877412463794,-136.23084782381292,-136.37215254199168,-137.06356805245963,-136.39972132606397,-136.40220993728238,-136.8332038472186,-137.79869723470614,-137.61192691674842,-137.665499812887,-137.88152071406276,-137.78013854520998,-138.05910141065385,-138.33629976229372,-138.43126266139484,-138.66049055144566,-138.55538193115916,-139.27034709253294,-138.76754422203194,-139.2932971504919,-139.7466916445157,-140.1923037120715,-139.6506693327281,-139.96803060300397,-140.13656345471412,-140.14685297844008,-141.18918436445628,-141.28973003149437,-141.5830046041555,-142.04623580137616,-142.26218896346003,-142.04957011373608,-142.8257471386729,-142.97712572588128,-143.65441751948526,-144.0886258031504,-144.49278578062248,-144.7343953488487,-145.27385947391667,-145.63361209733014,-146.5503651012166,-146.50098020099313,-146.90633218944592,-147.08425246599901,-148.01700710676002,-149.0920056046028,-149.0119070099457,-149.0574391937116,-150.0427618292513,-151.2611637611974,-151.84763709132005,-152.48664101974205,-154.31340282930475,-155.9462928666429,-157.43961316568985,-158.73099285352836,-160.9110454289506,-163.61123989770422,-168.10485263213388,-178.70204867432946,-239.99996227367194
-126.30390269325163,-128.12666903186172,-129.3940039037718,-132.30864296891247,-131.98880963958626,-132.2551111519285,-132.57577440275955,-132.14105340241375,-132.3140914769318,-131.77357021859575,-132.1910676869486,-132.40691484504407,-132.87751274016762,-132.2712180449103,-132.55818599022757,-133.23369700956007,-133.62007072380956,-133.49692939838351,-133.41621680354592,-133.6534306097784,-133.7744053536447,-133.76378429012934,-133.35904314108882,-133.71901683696245,-133.35201538888734,-134.52914737823903,-134.75688839641333,-134.6921933899808,-134.67885551780816,-134.881862190939,-135.22465102258684,-134.7311937366915,-134.9133825584471,-135.29471658371412,-135.19565783591108,-135.11845999791674,-135.9198119331899,-136.21159518150998,-135.82193730194595,-135.96219483029734,-136.0350235216743,-136.29166327124562,-136.64163472937676,-136.80957923260232,-136.64168372317368,-136.93599586435653,-137.01055370782143,-136.5036890541145,-137.30777551537,-137.30467158054643,-137.7647262348465,-137.8262373793034,-137.80781769701522,-138.27016729673358,-138.7754890671196,-138.39825365631975,-138.5566709367745,-139.46087993333174,-139.04974722119942,-139.75943847561544,-140.47585668232526,-139.69969151178097,-139.56736486809066,-140.27818342715864,-140.90161723811605,-140.73583961451692,-141.63901609491873,-142.15708296014992,-142.11496610156416,-142.31713182350137,-142.38876577209146,-142.36693562998823,-143.28901190216422,-143.0610869886407,-143.78890573137457,-143.53924940932998,-144.62684989556186,-144.34099863349988,-145.2705603578262,-145.40751465131652,-146.66252090588603,-145.83733818647383,-146.15070737291302,-147.38781553385917,-147.4786866179559,-147.93478914940127,-149.41281286276396,-150.54456305707416,-150.09376203239563,-151.67074054724574,-152.08458544969898,-153.30346987656347,-154.947900607545,-155.1880659041039,-156.76468171183595,-159.0663853461174,-160.4669958172026,-163.6819408740047,-168.22966337157592,-179.2416536036394,-239.999958493318
