0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-119.69637987011859,-121.59162481413856,-123.83421655368811,-126.27902986946519,-125.8675425835986,-125.99800474850765,-126.60120302118906,-125.87224213459933,-126.49735991089753,-126.89068968037704,-125.96613534920925,-127.3105172518938,-128.2594877025752,-127.38871729599977,-126.95960310834143,-126.98942026986016,-127.08379973925014,-127.75335893175071,-127.24958884758809,-127.92628762012181,-128.02727380666326,-128.0169448467586,-128.11626896019732,-127.62940591616602,-128.5347590755452,-129.21759798468656,-128.29094568567945,-128.9241924084855,-128.93256377560255,-128.78073896548122,-129.2580178672742,-128.6063154996994,-128.85125881992428,-129.3208082156621,-129.28091706669827,-129.8069135106513,-129.7212688779816,-130.04500680810526,-129.66256436319216,-129.94921250428996,-129.84309255446757,-130.61178495189347,-130.78010376651565,-130.92261069653503,-131.02824021646964,-130.9331828149673,-131.13446372468442,-131.68094127013867,-131.74195099434587,-131.79726641373074,-132.5788439634153,-132.14679987497078,-132.51475934927174,-132.66443947299496,-132.86432099916223,-132.4313379981343,-133.21082239822317,-133.09870744818,-133.02341931953447,-133.30147638306087,-133.70999346532759,-134.63955075578565,-134.46015128312456,-134.77530209366017,-134.46610973139136,-135.02730956517735,-135.7722880702347,-135.93199611784289,-135.83781345740175,-136.71694450085022,-136.27898853087262,-136.6242377299839,-137.2518745360288,-137.27619911227836,-138.41991259323433,-137.88668715562818,-138.27606289975884,-138.9985197754255,-138.92156226458485,-139.24721013401174,-140.10686951887814,-140.45856974237304,-141.0866273365893,-141.60265673943243,-142.1623670212917,-141.82429367319818,-142.6784450502594,-144.46411265136192,-145.35439913617094,-145.17623740306004,-145.96278781425022,-147.49168409775385,-148.4706350872228,-149.73037231555247,-151.62499443018913,-153.09166823418158,-155.17891432039744,-157.8550646685222,-162.5328190990483,-173.29953289838232,-239.99979804302964
-120.23800416664487,-122.06405667804808,-125.19781423668276,-126.50303603788996,-125.6766181270681,-125.96862387815219,-126.01504883850518,-126.4032485594521,-126.41490674678043,-127.28065622872815,-126.8960772120855,-127.49470514143934,-127.72115947061721,-126.78075480361258,-127.387588390075,-128.11070984884796,-127.52837169390989,-127.29357830409256,-127.324977820816,-127.58002404632256,-128.11637523408797,-128.49511401743845,-128.2583952689237,-128.36417607904545,-128.43837883907085,-128.75857370712012,-128.83491544592505,-128.59949413043915,-128.46862715650684,-128.9102094214342,-129.5621553273417,-129.08563924169684,-129.2340632283465,-129.67094960907812,-128.9160730733227,-129.51142613390883,-129.9806752807439,-130.3281452229649,-129.7426403744942,-130.36880570063013,-130.05070248639657,-130.7931393333089,-131.18230862770585,-130.54511884938728,-132.0053558667274,-131.76595923892077,-131.238367882971,-131.23091584290825,-131.29131269036023,-131.85506177784714,-132.3942779856366,-132.59248373934534,-131.97822328420247,-132.4979322191137,-132.91812494060477,-132.67730013715513,-133.30153723860317,-133.46611901704617,-133.23308246363166,-133.33685435402666,-133.87266006479652,-134.4414916158069,-134.27488941837896,-134.54637507996188,-134.89905853606447,-135.23136450760612,-135.5532885321553,-135.86700649118157,-136.10628288752946,-135.79578186727565,-137.26865579007844,-137.0464757825999,-137.31138720004375,-136.8667019017118,-137.67625711404443,-138.40801334502066,-138.51708329772262,-139.0283833939658,-139.07807307781704,-139.70415639672703,-139.56259942936637,-140.37435734621445,-140.90363240581644,-141.74611700402,-141.64529888322468,-142.37119695163443,-144.02050622695384,-144.08708671204909,-144.4130096818953,-145.29280603104195,-146.56594890210002,-147.07704471198764,-148.04327868846102,-149.85601941739813,-151.4396501081338,-152.4667362798829,-155.14234724244184,-158.16864827340743,-162.6152893968127,-172.8222477409417,-239.99980913856564
-119.95228114386762,-122.97537399637478,-124.24579174700509,-127.05750186977203,-126.36459669417434,-126.38339774099079,-126.46319285881933,-126.65604052929163,-126.76909707120004,-126.99786180557416,-127.10083877037088,-127.71255877235743,-126.96623731532544,-127.40177515248098,-127.0666965470138,-127.75404711605391,-127.75873361540121,-127.70178392314241,-127.37695997099473,-128.22885529391343,-128.10203462335494,-128.27743826082522,-128.74773306803758,-128.87355251631396,-128.688370316242,-128.36911854273205,-129.20898793274327,-128.76119114619905,-129.2355933779125,-129.19648392843723,-129.37419097916344,-129.0941691350054,-129.05383147728404,-129.6499291556144,-129.43760651131214,-129.61644523772665,-130.33107700050027,-130.16192964842182,-130.13225155659322,-130.50625396987044,-130.88541277889,-130.22421803258828,-130.39777642747487,-130.77512212682015,-131.1604429184833,-131.06431192582158,-131.22992487781715,-131.43648158666346,-131.82433444364517,-132.08007276977827,-132.33876515037846,-132.0775439919791,-132.44941290675675,-132.77934965116984,-132.7732859605475,-133.03766271925983,-133.06308302845275,-133.64226486682327,-133.83874222680225,-133.71526377750737,-134.01534877856963,-134.03038137177026,-134.53628313102737,-134.8971991322382,-134.93659737628312,-134.97953102790785,-135.76061584027403,-135.74643862706824,-135.9332755377335,-135.57978325450978,-136.69044066840203,-137.0085040798203,-137.41727443533048,-137.41581411735945,-137.9118648689519,-138.20852038519163,-138.40303691867956,-139.17703316986473,-138.61472351309249,-140.28530837897296,-140.09146095880143,-140.77406800639739,-140.62458411178395,-141.73827371695077,-141.96181528196837,-142.16608293898486,-143.88767524030808,-143.89200094165545,-144.35691624063423,-145.54046183480344,-146.33651485026604,-147.23258010167893,-148.4432113487003,-149.6532226945811,-151.7702723098394,-153.04711826916392,-155.69065785524893,-157.2693479345718,-162.26432185515836,-172.50726081179698,-239.9997974576367
-120.43396796922457,-122.64693480809048,-124.52796521116304,-126.02463715060463,-126.89889777972458,-126.64575244599253,-126.32395052646369,-126.30579954636202,-125.94725329280917,-126.71086449022941,-127.54794871274069,-127.63438169249524,-127.20666913881489,-127.42159827237157,-126.56692055267094,-126.8658718791091,-127.12660419417668,-127.95960912536215,-127.49609173388373,-128.0916702342597,-128.1669165879255,-128.0026518837544,-128.03369827469746,-128.0825384970457,-128.27880972085302,-128.91392370046572,-128.63136252994536,-128.694034324534,-128.68387318431328,-128.59561484159246,-130.03876720655674,-129.39857937801696,-129.0981525158334,-129.58570816355066,-129.4094889925364,-129.54170030460915,-130.01570858936788,-129.78711441935988,-130.09808899084416,-130.09574957441413,-130.60317697516177,-130.79222198496495,-130.53214387179028,-130.7338443236516,-130.78001306515262,-131.2774114213468,-131.3957690007252,-131.60934132751495,-131.52898620357007,-132.08209024916613,-131.84795082329418,-132.74473296591884,-132.23213448557237,-132.90682792628286,-132.9272653534007,-132.96801866000158,-133.19457833483642,-133.5216103141034,-133.09848736760893,-133.93231633212142,-134.06971765935762,-133.86936503596846,-133.8246090181313,-134.99137725338562,-135.1056327128926,-134.82736867504852,-135.5078040156103,-135.76973824544334,-135.49774967427908,-136.28567393148094,-136.57151252641617,-136.7611578612898,-136.785862139708,-138.34916324219836,-137.72650401412045,-138.42864679587763,-139.4095568909525,-139.06790534941467,-139.737228266424,-140.5794436113215,-140.27008394220215,-140.2957204811461,-141.93643974624197,-141.24706513708364,-142.2285882701583,-142.75493095891468,-143.70773267017483,-143.56661507204012,-145.2000168070792,-145.45709987667735,-145.84884346064354,-147.17326336161798,-148.75511481689762,-149.38469029306353,-151.07149102401772,-152.88396730454798,-155.72561672857552,-158.43478062542823,-162.061661884716,-173.26887344945496,-239.99980160962994
-120.19991962583715,-122.2838949293873,-124.53497316619827,-126.01093789200755,-127.1982132863329,-126.09927433273843,-126.59770454702532,-126.8348372096683,-126.24318181246015,-127.61366980532506,-127.17682148337335,-126.89837377890942,-126.84678290661327,-127.02516977207169,-127.61223029792453,-127.28935511076243,-127.66731560216341,-127.3101349643608,-128.13594125194518,-128.01026055858716,-127.4810389081322,-127.84418423887914,-128.30974645034175,-128.35301971190083,-128.93877563969428,-128.11304285372074,-128.62614103853196,-128.8546331159496,-129.0022575454568,-128.90104800857807,-129.24182437803395,-128.95739446318143,-128.92110105962323,-129.37101871367972,-129.23635055977624,-130.03365552750748,-129.8032566001826,-130.52933878069464,-130.52306883050875,-129.8190089908845,-131.06508807140747,-131.11583135331867,-130.35259328695386,-130.97214691600598,-130.89551048365033,-131.10228050764448,-130.91189094398365,-131.69591069325182,-131.79362113097807,-131.79355178692663,-132.23763732158136,-132.6289741368543,-132.1870694685291,-132.88154839339182,-132.36122097451403,-132.40231972995218,-133.25906419149806,-132.86128747059874,-133.54713557028856,-133.49645478824206,-133.67832622950183,-134.56420643745713,-134.30857004426542,-134.49236855497207,-134.8966001735077,-135.26825407939003,-135.3690930072713,-135.6292244001569,-135.60054483331476,-136.17357530268455,-136.5269246164326,-136.75514220694095,-137.37911300472996,-136.81737740566064,-137.89025372641507,-138.13356511007112,-138.82853702331494,-138.82561692755243,-140.00200716768595,-140.05394083494969,-139.961594587634,-139.98024750690428,-140.95731008406972,-142.36925108557415,-142.21730040470882,-143.1886727964268,-143.2689584441548,-144.12601463085866,-144.44621308334968,-144.90878871026203,-146.5798172680156,-147.7685117353553,-149.02254131681036,-149.36405132797407,-151.82845946193646,-153.2342169878169,-154.81448127360716,-157.8292347004603,-162.3509805685399,-172.99128414150078,-239.99980186815205
-119.78052923212077,-122.71172533948632,-124.50996015056339,-125.92500480254239,-125.97778726436586,-126.9223909902749,-126.3336525505696,-126.8712774963548,-126.22081312751648,-126.80531971872266,-126.92465219677982,-126.9150132784334,-126.87095643315793,-126.80870344309544,-127.44627940924218,-127.29690034762162,-126.76300488329669,-126.65154372211319,-127.4127927796405,-128.00622773462763,-127.93418189506669,-127.92724981592254,-128.35955655534718,-128.6039693144879,-128.49379330088018,-128.42054439908716,-128.7771738957628,-128.7318929256978,-128.72314222212154,-128.9014797422276,-128.89973086404794,-128.76031138890738,-129.3274811573805,-129.90306600168583,-129.6271137440699,-129.61186793571534,-130.01221082771983,-130.47033111055202,-129.73374303237395,-130.6228749019557,-130.69830788921973,-130.20110395946753,-130.7945397409569,-130.99278452022588,-130.68821863645627,-131.0955209868125,-131.53237786270157,-131.04134645480607,-131.50361053565504,-132.3574580764296,-131.21597222756466,-131.99811689450408,-132.41666211234536,-132.6040567767694,-133.142074384418,-133.19018187045583,-133.1810975122455,-133.6977237136668,-133.07438733298062,-134.3416874128068,-133.8903835048051,-134.16559608915333,-134.57180846187836,-134.1961496402205,-135.25298298443607,-135.40899683139205,-134.8458712837285,-135.91759707486594,-135.67788734361721,-136.62906441844964,-136.96675459642444,-136.61851439834257,-137.2076276120504,-137.52884038211104,-137.56706170889169,-138.31947066100338,-138.17026722070398,-139.3688789525554,-139.00756302583662,-139.71483377291742,-140.33940762384,-140.38947444990896,-141.49072439853595,-140.789473126341,-141.92032317139495,-142.509069959441,-142.91199873699176,-144.8179810252422,-143.7854558961794,-145.82232836122623,-146.74687593096607,-147.24934810931404,-148.86616566070475,-149.15666278458673,-151.43864060071772,-153.22363614141034,-155.2323184488554,-158.2001841660281,-162.9805306545408,-172.12557817970622,-239.99980085910633
-120.80334569272725,-122.95465977517355,-124.3998639218065,-126.37862517577018,-126.74468354524181,-126.12638005591973,-126.95488482039082,-126.28839447142636,-126.33292544771173,-127.3461315543061,-127.39453920713186,-126.75721762329655,-126.90574434653068,-126.91303321896628,-126.6741065243753,-127.61735298694863,-126.97471556976383,-127.89462854561316,-128.18314646220185,-128.44637093854098,-128.02860889208583,-127.50666931072833,-127.9303576794044,-128.1712136539448,-128.35638202716652,-128.27707720078362,-128.4216547509155,-129.44173132014544,-128.88271238453075,-129.45327680161083,-129.4209088338631,-129.1168456408817,-129.00461362799868,-129.24515299900332,-128.9957881512579,-130.29974827794783,-129.61490352509878,-129.69237918157089,-130.3005395334056,-130.2640819846741,-130.4359561260967,-130.33850272973973,-130.3691277171893,-131.17580342617276,-130.55531722665134,-131.2346154420448,-131.17538560260164,-131.6715119750402,-131.84728588890542,-132.13374152945963,-132.34339473071316,-132.07736888739194,-131.89343778251063,-132.8459341697635,-132.82080271779972,-132.75420245434233,-132.75125481025214,-133.7468390667414,-133.53349972133887,-133.48652114769465,-133.61948297514246,-134.49170172201028,-134.74578531381363,-134.72818782299535,-134.93486547531322,-134.3886963498477,-135.39939049088707,-135.52006601274525,-136.10262861877382,-135.74020084715733,-136.5283666392633,-136.57494828068837,-137.50909897465058,-137.99050267193726,-137.39692935961008,-138.28823669586473,-138.88512275655486,-138.67564374974856,-139.40310003763452,-139.3991449840351,-139.73036590022193,-140.91577421769273,-141.3902778446148,-141.05039307519758,-142.5025949223517,-142.62379283900043,-143.4075694567529,-144.67979191969522,-144.4255109196147,-145.6645059197946,-146.81921619084125,-147.40993366926827,-148.39730374933103,-149.37970160403108,-151.27662443697034,-152.82520052519934,-155.2245232287361,-157.69834547137017,-162.48397324127777,-172.7993160885096,-239.99980815987303
-120.18200772002217,-122.3563917205423,-124.3244838844498,-126.47099387870223,-126.66691508459112,-126.66043034667707,-126.91679496810796,-126.40178944053747,-126.48871665024839,-126.68061612963149,-127.0049668561197,-126.2543226509881,-126.23735910778107,-127.44974761405773,-127.71747315422789,-127.37568555800479,-127.32531724746873,-127.28281151457907,-128.02858257022055,-127.23952487621015,-128.45024291074546,-127.88228636363759,-128.32639030711107,-127.72846677998474,-128.66394595497854,-128.44143693655442,-128.52894954908308,-128.7959712287809,-129.08740712202,-128.90733505684702,-128.60898446537107,-128.8485589180559,-128.60762576878503,-129.52994443635734,-129.5862942315905,-130.22024504580338,-130.07341385414125,-130.0884580725415,-130.05563986839675,-129.9647309027459,-130.69113475524375,-130.6904175723453,-130.77990539949636,-130.87544123704427,-131.32843984918298,-130.85316132731757,-131.0796487731643,-131.85102068026305,-131.621198945493,-132.3135639573263,-132.0793142859495,-132.36946197731427,-132.7151114509755,-132.7808180350764,-132.32764832891615,-133.0840444379176,-132.91945383643656,-133.50562891955144,-132.94888671191202,-133.70309846939048,-133.7536972165494,-134.1074831983658,-134.10646931377755,-134.66183181595702,-134.7572222045161,-134.81372178352382,-135.52904003255807,-135.63798238367258,-136.06098996131544,-136.3736033382937,-136.45904506640588,-136.60429386500485,-136.44849256257305,-137.60597063314248,-137.57466164045437,-138.20675643415208,-137.97495500265134,-138.99528560081492,-139.7131371434481,-139.51002039896892,-139.52208514771644,-140.8557346953642,-140.79410200225666,-141.44921174825515,-142.19136652146037,-142.69671220881915,-142.7297814727558,-144.51382749708606,-144.72748833607,-146.03327142693126,-146.04178174148578,-146.74918568614092,-148.8909500178384,-150.09967422721022,-150.8498384854455,-152.8343677773632,-155.522877394961,-158.07606288079742,-162.66616388117302,-173.13999957433032,-239.9998076508192
-121.00772009099813,-122.85375075544898,-124.7424513310475,-126.49625825564,-127.28114988190244,-126.81670584060161,-125.92175255655948,-126.68066116420857,-126.30288002197919,-127.19074898442344,-126.72862654377614,-127.23237359444946,-127.09151733388403,-127.60495390830307,-127.14252400178201,-127.0905265017537,-127.79399712784607,-127.69304386934887,-127.6354490751752,-127.91094531213535,-127.85608329192354,-127.89743323667956,-127.76039691139916,-128.8131930705345,-128.45240247269427,-128.42075334900167,-128.07862320777716,-128.5521217598749,-128.94693470801468,-129.07812137219426,-129.66620216272844,-129.01746146271074,-128.81777505973716,-129.4011298433368,-129.68735290093352,-129.58478605380066,-129.69183917903464,-130.06141546931812,-130.2213009221126,-130.04168073614952,-130.95986279533477,-130.97735359354476,-131.348675349821,-131.1132536039778,-130.93459670902203,-131.13441652907585,-131.5877405482367,-131.83933038034687,-131.50193630242742,-131.96689703826854,-131.88919973949825,-131.6052974051393,-132.63609062125818,-132.81816721010503,-132.44677074255605,-132.8310122118181,-133.42537126335253,-133.19671602695715,-133.35008532044364,-133.36815943688424,-134.15183674678246,-133.7078213273172,-134.33374354370662,-134.83688105756374,-135.52748819210203,-135.05859286097999,-135.62846974848415,-136.06865945749564,-136.34958479478198,-136.58608360815268,-136.75751215824275,-136.93747015881692,-137.55972475369097,-137.16638794116605,-138.05423329421507,-137.71266157794938,-139.01853012516534,-139.74684410939815,-139.6910182089588,-138.94614298338513,-140.08703215403585,-139.93042316828814,-140.94630814399963,-141.9005095701388,-142.19359577973657,-142.37762800645714,-143.5897711511551,-143.7301593022423,-144.27953182219085,-145.80372411526133,-146.10058580205234,-147.64542408232384,-147.75051650186035,-149.35711939152333,-151.32917904431034,-152.86274540002293,-154.92541286879478,-158.30093790690538,-162.81609866179,-173.41437462209086,-239.99980280691776
-120.12652062193538,-122.84425178961469,-124.43624482605993,-125.92725122901122,-126.17728134792084,-126.75219535151817,-126.65878143556638,-126.92600781835343,-127.21074421433023,-126.79382521894712,-126.84917472053914,-126.87111218827668,-127.17962454503059,-126.46942492074413,-127.16252293890409,-127.56679907202283,-127.03223581256091,-127.20463270338158,-127.93967621674372,-127.87846388618513,-127.61022257784867,-127.77887945230567,-128.04799486304236,-128.82512432557624,-128.93635829394404,-128.1771457863713,-128.5977050843527,-128.46397040865315,-128.41236499595055,-129.14264412806818,-129.1262014728335,-129.40136691912664,-129.32099981093316,-129.3437641779105,-129.48398649935152,-129.79025734352433,-130.02009850018285,-129.97024491182694,-129.39234322459652,-129.56577861604092,-130.10180114597028,-130.4670854015387,-130.76964501158113,-131.12691403576355,-130.7886686874506,-131.0140934489049,-131.61908533420657,-131.22985837370086,-131.70038184476476,-131.6133995913065,-132.18746630468144,-132.34355895702527,-132.862482953947,-133.36974122059914,-132.85620221782509,-132.9709667226533,-132.89014379421454,-133.4187594071987,-133.87947003620815,-133.85288032504647,-134.24753761739893,-134.51601059496164,-134.60605349693327,-134.7374517241061,-134.86692928521458,-135.1749876649315,-135.87309543189878,-135.13670365918497,-136.10352058200803,-136.02764200423744,-136.5776723140252,-136.66703108420054,-137.6785049400034,-137.39419299997635,-138.03934234114152,-138.6982700138848,-139.22127490437666,-138.55232103832543,-139.2783155843826,-140.04258324935142,-140.28369626760997,-141.17269777318646,-140.94514170545247,-141.4244435749036,-142.20185111486623,-143.22829512591844,-143.13868368136252,-144.26799165045747,-144.36287075950958,-145.43670038007738,-145.90225838114443,-146.7585087823553,-148.04932125180045,-148.97699581679538,-151.348889853522,-153.65765468862358,-155.20209882575682,-158.52010779840214,-162.7924149648351,-172.98204069230746,-239.9998256693421
