0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-113.00181667189082,-115.3226970021051,-117.04586269332876,-119.06230204234406,-119.08273885153301,-119.26861611644651,-119.02737787259132,-118.80161682233903,-118.52610690055258,-118.83656644080726,-118.49043395924494,-119.13644664423009,-119.95143300223152,-119.44763325196685,-119.46262685110082,-119.44386619704792,-119.52045731183371,-119.82224186017652,-119.86671034582648,-120.36690090879742,-119.71676627437866,-120.26098770377034,-120.62491172167503,-120.60172597871819,-120.25479146714984,-120.16303177382203,-120.99118032044211,-120.66019174390674,-121.1128780715393,-121.21255650612804,-121.26995627376962,-121.35889229755314,-121.5257661206321,-121.40459148663844,-121.74385446372035,-121.14102334269319,-121.92412364671866,-122.15346111411235,-122.28156310786866,-122.06037821724121,-122.19337447306695,-122.78312880779339,-122.96240235422098,-123.61060661565028,-123.25550545091107,-123.48221500329076,-123.4235578548352,-123.6473105539341,-124.03816426607862,-124.40475255342177,-124.14671936144421,-124.48457392178518,-124.68343346557357,-125.23554384883208,-125.1399518344797,-125.34706575371325,-125.3094638839672,-125.90660326995882,-125.94510406567767,-126.1784302511018,-126.26092213638177,-126.6829594695727,-126.90684368898263,-126.52449782079941,-127.4257306495106,-127.56525991552256,-127.99902699301326,-127.72265092897496,-128.48448388570165,-128.98346343072035,-129.2265756089303,-129.70126479987843,-129.7444118199819,-129.54118670064418,-130.11452552996678,-130.49014698040207,-131.18879020886777,-131.892009222764,-131.27514897828343,-132.48282340780733,-132.22778307457995,-133.1067401167834,-133.41011486259262,-133.9232382673553,-134.31945479822647,-135.1011326946571,-135.30779747607255,-136.43693068740262,-137.42962955833804,-138.03619834167435,-138.5658981993798,-139.51726543691163,-140.48554187052238,-141.76887428668354,-142.71909555264645,-144.8882461846376,-147.50973435461083,-150.43362205734124,-154.54991038410063,-165.38785809075628,-239.6938465915586
-112.92591527532213,-114.66542562613922,-117.03678375938527,-117.8382481575605,-118.75056362284074,-118.45184500927253,-119.04085088831725,-119.12666711941927,-119.00437096600113,-118.87720577672063,-118.76380440028697,-118.72697762278736,-118.95602349009452,-119.36212707660607,-119.5507069064605,-119.34179853723508,-119.55851990680883,-119.89710918656004,-119.99551114966948,-119.71920084793648,-119.95990366360348,-120.33638330099954,-120.5576068341123,-119.94087709479734,-120.6510424976917,-120.54526714620125,-121.17152550339678,-121.00365106569127,-121.62665444237648,-121.32988138985326,-121.32974589692739,-121.62180499742382,-121.74861964382787,-121.59798735433726,-122.31298015356896,-122.09216057053986,-121.80826091032279,-122.3769776828318,-122.44145859764843,-122.80114478307631,-122.94357678091608,-122.72911470193162,-123.0985520653352,-123.82754524704158,-123.19997900111245,-123.73365253092302,-123.4640029515413,-123.87085129356468,-124.3476444651339,-124.98049567379991,-124.3883872938568,-124.8677774743737,-124.88378417116594,-124.8065422642795,-125.33812638166002,-125.13841020405366,-125.15737418561783,-125.61197611134263,-125.50322315459344,-125.94497845636275,-126.28708068350282,-126.58050900207554,-126.71064710416113,-126.85132949050615,-127.13741715686665,-127.45733141269122,-127.54536445007055,-128.2320932013462,-128.43002397998094,-128.48053614457217,-128.86952123151246,-128.85907270205155,-129.10594824415168,-130.02635585892205,-129.4379410837444,-130.16500524502524,-130.75155557177177,-131.24667911933992,-131.6921729803929,-132.22932085386148,-132.0629802251726,-132.83686359202014,-133.22861692848448,-134.02025422184113,-134.38184308362864,-135.129626712143,-136.0651021232915,-135.97483917353725,-136.80996163155274,-137.87111221101443,-138.3776483168269,-139.52339018595885,-141.37325528392503,-141.76899769739683,-143.618738599218,-145.8112796321397,-147.4805738335231,-150.38575411367265,-154.5361293787078,-165.54740266962133,-240.06503216045087
-112.94761588582247,-114.81008745493344,-117.1301745294409,-118.51971243415005,-118.48681951078483,-118.6148821254793,-118.91368239782886,-118.66765939388696,-119.16890715563927,-118.37789607527553,-119.0795450768864,-119.15555953529666,-119.0288972165008,-119.7142178888769,-119.76674094652488,-119.74322772023999,-118.94545794490281,-119.84916898279924,-119.738845881121,-120.25268097501487,-120.08397817269667,-119.8381280143269,-120.24203612572882,-120.08404452556294,-120.03129351598001,-120.3998360661752,-120.51227796091851,-121.07277667803955,-121.29253478369189,-121.19141808067981,-121.93356789176049,-121.66306449432388,-121.93224940235665,-121.65764234658783,-122.1528846521999,-121.73213661544928,-122.41223939097064,-122.32420653989476,-122.04211589306678,-122.39490126481535,-122.44845828920045,-122.78982911941614,-122.87126233832682,-123.09806073764432,-123.41260848244806,-123.86777870683245,-123.50111252723245,-123.76469932650521,-123.72931993218808,-124.31238913245251,-124.14865050091312,-124.95693640237907,-124.49844580320423,-125.6388778164234,-125.11749849379521,-125.48109472592395,-125.57735669151569,-125.87250285189113,-125.9853590472418,-126.20158820717973,-126.39665322334301,-126.96395513814178,-126.99976933590827,-127.02205649667582,-127.24238945521446,-127.60973095540064,-127.69791486138782,-127.97533921611614,-128.22674149692668,-128.4382705233901,-129.1431907929328,-129.0307311571387,-129.53620691286477,-129.77343001007216,-130.6629068102062,-130.7407839921674,-130.77076438474094,-130.52066764662024,-131.74686352006785,-132.3499705285523,-132.6513527992652,-132.34979096365421,-132.87686338365822,-133.29051944103009,-133.96811043413425,-134.91148269924503,-135.4551025479037,-136.01327094516725,-136.43804100581528,-137.34255467939414,-138.23134641466365,-140.0525586130035,-140.58359865676147,-141.78376002536575,-143.4331532841185,-144.80238924862903,-147.6337405704495,-150.55234998538805,-154.99040763625098,-164.94763156528688,-239.8293914053396
-126.510739787585,-128.07773066686175,-130.70914861352588,-132.72922374579335,-132.3528693003104,-131.99937231241074,-131.7274449316869,-132.0237445709061,-132.3182073839304,-132.2037511207548,-132.77683283508242,-133.12352223682393,-132.43114889198776,-132.57895422172533,-133.27638640882486,-133.34518732810818,-133.29877794934657,-134.25240456483078,-133.41972495919018,-133.81524658875378,-133.4340830456783,-133.412830137685,-133.92650361987936,-133.78946989105023,-134.4200089969851,-134.17725425994354,-134.54236723604933,-134.56390179249203,-134.94053937824,-134.4800762489072,-134.91961423710168,-135.09372290568695,-134.75012741560408,-134.5548252568101,-135.4497455856249,-135.00556775670026,-135.74003506514975,-135.72631185538944,-136.57176014673686,-136.02436814133307,-136.4429427654737,-136.5083797639766,-136.28921126225225,-136.4499236225988,-136.66558530086039,-137.1154401932281,-136.8313849789414,-137.05420904484876,-137.95558223986194,-137.76837314322245,-137.63975315862615,-138.02157087644804,-137.68044064695607,-138.2964570114806,-138.2453522864869,-139.08428072273517,-138.85012918190267,-139.13572094210758,-139.1845735426591,-139.5584907527583,-139.41369383018665,-140.41782209901737,-140.0282860487845,-140.50890610333119,-140.87656821257434,-140.8781322057088,-141.3918715690078,-141.22159991804594,-141.2426176967239,-141.98414550786921,-142.5432666978022,-142.2722633948672,-142.4830969127582,-142.9934662381787,-144.00467978278476,-143.50010093246075,-143.88248128217026,-143.7017297431171,-144.93451088659015,-145.14363632194326,-145.49174998331543,-145.998631086844,-146.26340549976524,-147.3852706379715,-147.54347838449038,-148.14011189248507,-148.25857840033365,-149.79650556342588,-149.9594112304657,-150.8980633585203,-151.89004426179667,-153.38833301127553,-153.76999562787967,-154.83308673207233,-156.6510747715606,-159.10503542356778,-161.27232275375735,-164.08594290039343,-168.62136150561358,-179.64887445101417,-240.11020275462573
-115.6735198370843,-119.1726499317865,-120.98115976241435,-121.8607524215779,-122.88093834023329,-122.45686189273819,-123.01453050991603,-122.8363268379855,-122.70433332040717,-122.65423782885468,-123.69222237689108,-123.40244939673865,-122.87674756472619,-123.12897591611531,-123.5162842347956,-123.92931373439272,-123.51341563900479,-123.9770584508396,-123.99031514859401,-124.41047873496994,-124.19949632925872,-124.0400447324392,-124.31499966081445,-124.27177832426793,-124.19929701956916,-124.7310149422483,-124.4444098309368,-124.83959342123231,-124.95164659131068,-125.38561359720326,-125.57556896359381,-125.21847277082914,-125.20980922922749,-125.89791884959668,-125.71629019922524,-125.7989406975371,-125.95467278912854,-126.45629405841436,-126.15076026808075,-126.08423788923264,-126.91461889105143,-126.77385369422795,-126.57797285062365,-126.94280622964136,-127.22405682322298,-127.0650227521125,-127.40986250115034,-127.93422250064344,-127.85622686567872,-127.96212244111116,-128.3995468418857,-127.97675898453221,-128.35680745446106,-128.9844829552533,-129.51440959267524,-129.32560487532083,-129.3138871588489,-129.6780455281917,-129.86123783508165,-129.7334951170812,-130.68483807224945,-130.30998267475263,-130.6285388808597,-131.0416586782375,-130.88170018945095,-130.967146195742,-131.60048981625698,-132.07436200502488,-132.18723168413592,-132.0103076160177,-132.48553034755946,-133.2624019738071,-133.13828159592586,-133.45377815684085,-133.43128971276172,-133.89845236358786,-134.5066751139089,-135.59442018813334,-135.74554079377955,-136.18610807715575,-136.33594662101265,-136.8989706929959,-137.066172392119,-138.197239937259,-138.45471303721882,-138.71621692076,-138.81318969333833,-140.72328557987916,-141.01744703499108,-142.51569904152754,-142.06696934899819,-143.48913785313025,-144.93666730500675,-145.61339911117906,-147.05635334972965,-148.87897530129166,-151.39347220477103,-154.27276829843967,-158.36889573523146,-169.56425528557128,-240.02546573725127
-113.22330827811545,-114.80985298458369,-116.9550777349319,-118.98040905556654,-118.99111918836189,-119.0360347335343,-118.63520191622067,-118.9998917032978,-118.94844301449257,-118.2106368471863,-119.0764313381218,-119.38972487718799,-119.2330795997736,-119.81424726797644,-119.94288025506336,-119.10172558480127,-120.13689897717273,-119.86458897875131,-120.041031132835,-120.48615108665639,-120.12626085476917,-120.28994329315397,-120.28406341235124,-120.69132680764562,-120.10551811335253,-120.67267751166727,-120.97148265370618,-121.3331622803356,-120.86090781908003,-120.85837541085851,-121.07294768051648,-121.59701031925908,-121.52291882653525,-121.26680106601545,-121.68186962481549,-121.631270642392,-121.95421861242762,-122.0086890422922,-122.50105962916736,-122.45415750489552,-122.39103913930006,-123.18073526147775,-122.98424965361323,-122.71833695210904,-123.08389188635425,-123.03603401759298,-123.336083281973,-123.62304736804784,-123.52078654838388,-123.82715256520775,-123.75485157174282,-124.3562900056214,-124.45861967044398,-124.37097044050968,-124.74129722562405,-124.85576113684769,-125.46729018574808,-125.49062755129296,-125.94848125834292,-125.96462818220851,-126.26123520775882,-126.40670244752927,-126.90412871914931,-126.66846640533339,-127.39787076476695,-127.65485232984335,-127.58696068512181,-127.99183216297058,-127.4195315768413,-128.50965238698979,-128.77967555886835,-128.8501414517234,-129.42552841129,-130.00120841701144,-129.52684679272875,-130.2833966271905,-131.08853999131702,-131.22391235797397,-132.1172863755757,-131.83730509799264,-132.9641739791497,-133.0920413280947,-133.26415541531375,-134.01316357978936,-134.9284922273276,-135.16843244311505,-136.05727190731005,-137.20920279831407,-137.57226835780506,-138.17950656885426,-139.5581059777848,-139.92194259811868,-141.54000427061942,-142.83968708886036,-143.40725738327507,-145.83163160336352,-147.38299545395438,-150.05722166634433,-155.00336476208335,-165.45631743847235,-240.2601122364187
-112.31280495870257,-114.72265321307316,-116.73578789662761,-118.55684547925014,-118.99252016776147,-118.73020365762899,-118.66026374999298,-118.81446736210111,-119.14305664601247,-118.93919475901762,-118.99254438187408,-119.37224272366485,-119.25995355257349,-119.32476886037259,-119.85463008320328,-120.01567153776625,-119.73177987282075,-120.15747220590553,-120.23073288909845,-120.38822181922897,-120.91083217359774,-120.27630638916906,-120.59893059038468,-120.28871276037157,-120.7205516417824,-120.65634367613445,-120.29874149409473,-120.93315203578383,-120.9975041891736,-121.12729376430256,-120.86567269762803,-121.59121469728997,-121.00168845586914,-121.2095925368001,-121.5512387537511,-121.7430941173023,-121.79580215821338,-122.45757924596731,-122.73322752918874,-122.37803568273988,-122.90219228667507,-122.34315534979895,-123.17478758618195,-123.3217020745893,-123.56158212476015,-123.40318406031732,-123.42877265994345,-124.04395023225092,-124.10055332668996,-124.33094959689538,-124.39463963426458,-124.60941437096031,-124.75927504014925,-125.09754686971972,-124.98916806060484,-125.26090727027594,-125.55719644280798,-125.57754121235133,-126.19168315010945,-126.39249346447308,-126.36098968251454,-126.26215822624236,-126.53368414320727,-127.06660734050568,-127.01442375612497,-127.40864885747781,-127.70861677949205,-127.67604513673294,-128.4613611267096,-128.14755752373333,-128.9545719225557,-128.78261692524669,-129.63291389756446,-130.15674662562867,-129.85541477433677,-130.04009545424668,-130.4684262650713,-131.34258717719442,-131.51657782793205,-131.55405050930278,-132.33930399561902,-132.9570409879154,-133.80064781580452,-133.89084223773844,-134.51226154754724,-134.55703541993483,-135.94765270378028,-136.63764134104287,-137.42694657695174,-138.2591803013578,-139.10548397530846,-139.08170242606042,-140.57505159667232,-141.72778216267685,-143.55926259668104,-145.34765846054944,-147.92498414183055,-150.21758415595176,-155.0347730522066,-165.14293528729934,-239.86903711841325
-112.64065734628878,-115.31155348490222,-116.63450643044078,-118.6919484252284,-119.09732469670641,-118.6196603066993,-118.38696876433335,-118.81599323736131,-118.5852950810948,-119.23683873734976,-118.90247837284765,-119.15917733147205,-119.03278148664873,-119.58948257792952,-119.12959124185264,-119.43981124323174,-119.40905150105714,-119.54474830278873,-120.07929556058701,-119.83620461188637,-120.39209773926774,-120.77768576845897,-120.31484029102711,-120.538524211895,-120.9992964902376,-120.34031374352999,-120.46665009390354,-121.22137496589997,-121.63717116704295,-121.20720780109025,-121.39336622892735,-121.33718546408383,-121.72256017042103,-121.91905604084118,-121.84712152289119,-122.3099522902004,-122.15822113083001,-122.52852740529511,-122.71102481915786,-122.69009901934683,-122.8787290340091,-122.86656493996668,-123.4302340134163,-123.29878303158522,-123.6134623107056,-123.55398529792566,-123.21483425950277,-123.37492846802728,-124.0987044856652,-123.70628279391298,-124.25079444830234,-124.25979137519332,-124.86571807792727,-124.78597950987923,-124.93601163563828,-124.95977849571734,-125.16738790932163,-125.48061355926428,-125.85587095297257,-125.89506361034675,-126.07272512597523,-126.01945219211869,-126.76766842120823,-126.10694855994949,-127.03869646457817,-127.17202088387056,-127.50095449541986,-127.98635766263054,-128.09119753781465,-128.5948776896962,-128.90019894841942,-129.23775625205047,-129.46178790640178,-129.9109220804839,-130.23289231983088,-130.65827848577112,-131.10043048446357,-131.21109651404538,-131.74650051430714,-131.88015038374607,-132.4091520753668,-132.98986305077932,-133.6955464738065,-134.06172494632006,-134.59186829852607,-135.57287907165002,-135.48276134646048,-136.34602796007846,-137.0689568488655,-138.27754592394209,-138.5416857399821,-139.6046216133157,-140.52103887651143,-141.82869021002864,-143.16971934970246,-145.17071414265473,-147.3045667886149,-150.14586403301104,-155.02170385751214,-165.50007997391376,-239.74867475902494
-117.1029365976037,-118.66592129774482,-120.93175859098753,-122.48603380100474,-122.08290582417136,-122.42072540371221,-122.4607071157599,-122.6693650751508,-123.33821062204565,-122.80612185880236,-122.73295113823178,-123.9887301026922,-123.68280553916622,-123.00840514138864,-123.57593534403951,-123.72585151194147,-123.73363117939657,-123.25287757987368,-124.39407709715766,-124.10562725853639,-123.59545940382748,-124.09536499688738,-124.13853982159122,-124.66296488215158,-124.60058734467951,-124.06573013204567,-124.74811567954251,-124.36737029504505,-125.06009065518617,-125.2828300122013,-125.18989134060845,-125.54826555081192,-125.02631133237152,-125.21787047498472,-125.63727091332535,-125.39224135120504,-125.8524131682133,-125.95935170330094,-126.28248590212294,-126.82317077629891,-126.55120397112329,-126.59066963275693,-126.9163615089888,-127.38900960547478,-127.27124449440016,-127.47873048171112,-127.39433963864549,-127.63334400105056,-127.82750407517081,-127.81989113688249,-127.97766776924003,-128.56969044593643,-128.51325577179387,-128.50398681920495,-128.92535135300443,-128.97902583455763,-129.26761489530034,-129.93018026642943,-129.86375768243946,-129.75844561037133,-130.20931338532043,-130.3072550727395,-130.91512649771192,-130.93038922670357,-131.49238566421477,-131.05452125288434,-131.39234664845392,-131.81401809390496,-131.93290330333912,-132.67771622886636,-132.06442516638774,-133.22897996341044,-133.47434868956364,-133.78159521312665,-133.23181282529015,-133.45194031312045,-135.36600708177667,-135.14748731387755,-135.32345786887595,-136.01718195147862,-136.47137985997318,-136.5197048828333,-137.06569233766473,-137.3921535267682,-138.44469055514034,-138.51036704946478,-139.646411483754,-140.7561211235639,-141.07857079500303,-141.6631320910753,-142.12419892053967,-143.45636670734453,-144.5787522421429,-145.74697205085056,-147.57569775763386,-148.76320017473378,-151.00304843025063,-154.07919717192578,-158.80819263680368,-169.161563936507,-240.08822878774404
-112.93679894226732,-115.10917005358326,-116.40339052466315,-118.43562803458299,-118.8515881011036,-118.97545321941834,-118.58413083151481,-119.04741861320242,-118.55397566027553,-119.15311543320537,-119.75712924094162,-119.73290075404665,-119.41079379624331,-119.61208646581585,-119.59535545228488,-119.86911742954801,-120.55621955976956,-119.67198415388935,-120.18238022849788,-120.27441730014473,-120.28270231942396,-120.19831721893725,-121.1086486228699,-120.4448633495025,-121.42293773556804,-120.92379925078102,-120.7764301573988,-120.99673628601863,-121.28170543690132,-121.15748818904262,-121.05344331186895,-121.69501624389852,-121.89076482433482,-121.97904820184485,-121.6395983916027,-122.07196824286915,-122.2793684405379,-122.21461331355847,-122.09184905469778,-122.74327855996636,-122.76066583229762,-123.07793026035354,-123.09603607254428,-123.44825493773281,-123.22182319399022,-123.59260451586132,-123.54149382363592,-124.34722077685709,-124.05038636300104,-124.34803213040406,-124.07483077541154,-124.76232435235424,-124.7642474484277,-124.86373015971894,-124.60558604759693,-125.13243338680266,-125.14577227416073,-125.81750579000055,-125.8507371565361,-126.24028000980219,-126.6778945317343,-126.0684246496509,-127.05482908988908,-126.89585374029372,-126.90327510717911,-127.31911616786067,-127.52021296185626,-128.0486057107804,-127.97989767832352,-128.1580623688993,-128.4493796988771,-128.77175107433786,-129.51419754370758,-129.9965603394869,-130.00321716118876,-129.96950770358558,-130.53606577268033,-131.23954943727466,-131.07539469924978,-131.59059533364328,-132.10293572064234,-133.21396341362237,-133.72314639956696,-133.61893035488518,-134.46751057332995,-135.0736221974977,-135.50585605122484,-136.0871045878869,-137.0267462033074,-136.9022306998574,-138.86764497556786,-139.72912831654526,-140.41113696132072,-142.50396518117685,-143.22096163396807,-145.4915278706668,-147.52566064504725,-150.15689860639134,-155.1214689554225,-164.91368860072828,-240.01415387375965
