0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-126.19417286024843,-128.52203283788745,-130.11083785025505,-132.21221003313946,-132.35417310679065,-132.71073474496808,-132.0700649347789,-132.47886661330725,-132.5871911701765,-133.1016401672877,-132.4543028302498,-132.6794220178719,-132.8266343600093,-133.34372414534536,-133.12484255179308,-133.12583790652022,-133.24983269178142,-132.47788031590042,-133.88815965215127,-133.28181912152542,-134.13587228204452,-133.8015585750468,-134.08781639056318,-134.00613181350937,-134.55659525747217,-134.3407037726235,-134.14705933460144,-134.20225261532048,-134.69745001246804,-134.6199342140603,-134.68211882289296,-134.92444097606713,-134.74043955713225,-135.22384514350014,-135.28043125568237,-135.4603625240011,-135.8081416468837,-135.77323616195017,-135.88340619151154,-135.89311745406263,-136.04511136792505,-136.43355761376054,-136.25828394328485,-136.51494826933452,-136.4909024757431,-136.19154584631545,-137.01802563521008,-137.0334897055921,-136.9310700103208,-137.65363970600785,-138.14987256145116,-138.08032818965353,-137.8994933841876,-138.67992312991564,-138.623764863245,-138.49294907811986,-139.04085219208838,-139.00716693609937,-139.2549469813629,-139.66732294304188,-139.47075401946842,-140.25515882563784,-140.61773118912814,-140.64091220872592,-141.12332819924245,-140.97013595863905,-141.4226192850143,-141.50066475767386,-141.77870238143527,-142.33753911315173,-142.48075075851335,-142.91491861136618,-142.98944135545128,-142.74754220890634,-143.6630390406246,-143.87251050931502,-143.75373417831864,-144.49135558329166,-144.4856628576459,-145.843951195951,-145.41772630482797,-146.67480191455627,-147.02219529053588,-146.9035030360784,-147.19113566278284,-148.15457194047275,-149.2609450812707,-149.59619449423877,-150.5741905073569,-150.948916956024,-151.9755494355437,-152.47249037040163,-154.2209439427015,-155.28215978134853,-156.3200593581663,-158.9251650693266,-161.02991759722175,-163.40896182564532,-167.92026616351004,-178.7162575510235,-239.93922631368446
-125.71215147308445,-128.11312042716074,-130.48749849424132,-131.75459222485554,-132.60225326469308,-131.71244622256125,-131.4789769337402,-132.10197576023458,-132.51771346474433,-132.3143225089843,-132.64906603205577,-132.42538308032854,-132.3372193224257,-133.25171117859287,-132.8552409932279,-132.66119609388647,-133.21768966061387,-133.2326814610072,-133.0057588324333,-133.45323219947755,-133.84813504990234,-133.44879177787342,-133.28966287024122,-134.09055601760082,-134.24370040515896,-134.15959977663806,-134.58758658832755,-134.87557124602446,-134.4351621349416,-135.11625456543385,-135.2917128597334,-135.31822977182276,-135.22907721438702,-135.42982515128648,-135.89487302833888,-135.78538838122662,-136.06121739688984,-135.97895791498513,-136.05628406442105,-136.1046382976246,-135.72236155483344,-136.4344049243096,-137.13935740205793,-136.18832537125658,-136.75391334723767,-137.12582723031443,-137.1425813006606,-137.3632655769806,-137.38723639398492,-137.4669490977425,-137.61371107707825,-137.98797498591327,-137.51893440220644,-138.11339536823007,-137.85100522431148,-138.34834504109122,-138.7683207519581,-139.25925767523756,-139.02709363767502,-138.99889741901512,-139.3963471904465,-139.7399506063561,-139.93349306576732,-140.4058981013014,-140.15712596783143,-141.0399184641613,-141.07051749212638,-141.37956437511957,-141.78430070391863,-141.7719608220181,-142.6755254835371,-142.74082341273078,-143.0091149414373,-143.04948929068982,-143.50447408189126,-143.70765148378663,-144.5064263387853,-144.99713989072336,-145.0979243159383,-145.16409376345487,-145.53696988315673,-146.41887223130988,-146.7623290203663,-147.2353829958402,-148.18588100438757,-148.76316167054577,-149.31439829719557,-150.16364651606256,-151.0447798235662,-151.3188504197515,-152.5455859862911,-152.97034652182703,-154.12938083943936,-155.9063823331418,-157.16536708896362,-158.7019542683978,-160.93949834702556,-163.2627869361436,-168.22575550411256,-179.01803311540462,-240.08019126760934
-126.41776174544154,-128.50372530588922,-130.49348707288456,-132.62849346181784,-132.60664038001968,-132.01111057835934,-132.74903734135532,-132.81497875758475,-132.3007887257544,-132.57793156706623,-132.3583576705171,-132.47080739203003,-132.67397917817448,-132.8075988017973,-132.4300585824881,-132.70005066184405,-132.72964474974103,-133.4681928220219,-133.26623325243955,-133.24142160218705,-133.27341794417396,-133.52912386749867,-133.60542673081082,-134.05484268172015,-134.2258697750991,-133.70574922786906,-134.35035019728667,-134.18245131863793,-134.0887931479945,-134.68895044743402,-134.43399343779558,-134.61969336671126,-135.1840421588774,-135.1720021883846,-135.61734640557137,-135.97852260615034,-136.03851938219483,-135.85982935754953,-136.39695319247545,-136.26462774793305,-136.279912657107,-136.08268400213655,-137.08804558477175,-136.24211476199542,-136.48696733556937,-136.8063713423212,-137.29480386890205,-137.19060501434095,-137.14754798597204,-138.30262583923977,-137.53175704347154,-138.5458442608239,-137.92703370576263,-138.51077180270957,-138.11942335103168,-138.8919238205315,-138.75321733930528,-139.13061472876458,-139.36641422364545,-139.12366188194017,-139.4343564809069,-140.06845517277065,-139.6298581162141,-140.32080307161164,-140.3496902687507,-140.69815513534985,-140.88451320749778,-141.5328360910336,-141.47904124157114,-141.42982056480093,-142.33470582513354,-142.51349521383688,-142.9051168368248,-142.97759579070652,-143.67415592687607,-143.99074871433993,-144.18894521246375,-144.63679556248016,-144.96020077581687,-145.13986448828854,-145.734866473915,-146.24346036038295,-147.01379700865425,-147.64230573604186,-148.821317483093,-148.61067405257262,-148.29937793819545,-149.74199076077298,-150.36192128935605,-151.5386634398243,-152.48757454016956,-153.22515730265187,-154.68217504533405,-155.78055354074948,-156.24759572754203,-159.22423065863975,-161.01550510519166,-163.72311711037003,-168.2881306911771,-178.35819149967986,-239.8110743251337
-123.91222140058407,-124.96032277554252,-127.43475538232579,-128.68444898906594,-128.9636345589478,-129.72896136049647,-129.6599218336325,-129.0037541245938,-129.912105144723,-129.94298040225596,-129.2422994365399,-129.75083067597373,-130.2533660708196,-130.1599234516558,-129.840024154126,-131.02530484940422,-130.13267374834723,-130.4639501147889,-130.7874639842642,-131.02046244904253,-130.18481848202697,-130.28348002026112,-131.07138826734138,-130.7018867254154,-131.00047760971452,-131.58354213298674,-131.23673999884872,-131.66901244018035,-131.9200640720192,-131.74935695614948,-131.79824600400005,-132.33872332949844,-132.2221379299619,-132.06023145476286,-132.18545488798702,-132.51619550443132,-132.5458764755357,-133.25109001365294,-133.05526727292116,-133.838112669637,-133.32619722352985,-133.58414116338656,-133.69760948441362,-133.89475328372004,-133.5306380291707,-133.77480429411818,-134.30026635865,-134.08259439220677,-134.70086313309645,-134.54855944034432,-134.44489076875755,-134.77433259406953,-135.1771029646588,-134.8120965399501,-135.38303629679564,-135.68985456428865,-136.02316749616804,-136.1677757187306,-136.3356418712978,-136.7566643781856,-136.84529812483908,-136.7426398852903,-137.69211901621978,-137.588243460662,-137.21664964236876,-138.32154638414028,-137.94027214180878,-138.73270971218662,-138.38217649757146,-138.70669487765147,-139.4019564441873,-139.72454539357878,-140.2257185099741,-140.21729671126795,-140.412179080852,-141.04837064924206,-141.57202313361944,-141.9634777452814,-141.9021760580989,-142.1988770974831,-142.88328523265315,-143.08995164706343,-143.9178693049371,-144.9230566542182,-145.47392073199396,-145.5943317060183,-146.60066139029996,-147.0406577936682,-148.0989632962828,-148.47220824529433,-149.00184487498262,-150.42272511040193,-151.70708112146525,-152.44356049015087,-153.86867096326094,-156.21260285953133,-157.83292628885548,-161.18420388211382,-165.51710659795546,-175.69797770185582,-240.14166311174654
-125.71425967201291,-128.0326308072707,-129.66219486943604,-132.1583087961622,-130.95882673608503,-131.74804618375865,-132.48601497241674,-132.1335267822352,-132.53422446938657,-132.79674161849871,-132.72079601219056,-132.56855153625526,-132.02247382957054,-133.01624477308764,-132.87029141276915,-133.73252060071837,-133.5004682794702,-133.50851410634922,-133.6334427080318,-133.00003283768868,-133.29250242951943,-133.60667720548844,-134.08516021370386,-134.18546555306878,-134.12688668274427,-134.27193562567763,-134.19896622539534,-134.79726049187275,-134.29390264760357,-134.5425080488935,-134.803419544953,-134.56635001174234,-135.31689444684244,-134.98488998108687,-135.03721742599095,-135.20784445399963,-135.79252854227275,-135.55108338300403,-136.16788105845185,-135.8889355160544,-136.06197988069928,-136.55427013615142,-136.73938043825194,-136.94261949630138,-136.47982419915468,-137.24749326018252,-136.90016763218233,-137.85289633277355,-137.06223941400611,-137.43264048303766,-138.01565168604893,-137.98878421810196,-138.13479201976355,-138.8822349275973,-138.32767735381543,-138.86584861442572,-138.5433445470963,-138.64116194865068,-138.95990675176753,-139.44294800236977,-139.86519123042737,-139.99702218761675,-139.79915826771318,-140.29975534666693,-140.91923463675593,-140.69359251150104,-140.9708426761473,-141.26515249724665,-141.46460766508122,-142.0018294971054,-142.42483931216913,-142.6040970337256,-142.6020278831153,-143.52695855619024,-143.88389544204185,-143.65366604634306,-144.66347329049685,-144.3181271454486,-144.64884027974847,-146.05423122244324,-146.09650823234165,-146.2072781525594,-146.55825136524604,-147.1112206587423,-148.0860022246674,-148.74983576075877,-149.25620753480948,-149.82532018832245,-150.58725040489577,-151.34882855625645,-151.84463372232457,-153.34420252827798,-154.08806929187227,-155.3696010196655,-156.4404372913462,-159.0833487605381,-160.05746906587208,-163.72167526862304,-168.81419363675266,-178.94762657605506,-239.9457128904126
-126.51072234709933,-128.21445825948396,-130.43195405776342,-132.007964124106,-132.03968716140912,-132.03060895682128,-132.4992289948378,-132.10764997930332,-132.20075324198527,-132.42951264330736,-133.50122420228038,-132.0314679186993,-133.4202464911764,-133.0195756193636,-132.61660893949298,-132.94362706803275,-133.30969186720407,-133.64600301562945,-134.10923309758442,-133.52379193842867,-133.9144928234873,-133.97047545538967,-133.85231046539622,-133.89990116744625,-134.09564529381578,-134.24736681383115,-134.90166670568476,-135.01918103750123,-134.69031689988373,-134.58828758398363,-134.9844429291577,-135.06137160186302,-134.58825179728578,-135.0070419726615,-135.63215066360402,-135.51452140125255,-135.5496219017826,-135.74247733974642,-135.7885782790703,-135.6955676874167,-136.202566833859,-136.2347719718065,-136.3052084675578,-136.47899665115239,-136.6743202790663,-136.73570622329964,-137.5307474802085,-137.04286250410422,-137.16913388655573,-137.01784382238978,-137.82328781890564,-137.75259506501234,-137.94388922265358,-138.1797421275763,-138.33439079201946,-138.49295300706243,-138.46284252466776,-139.00542640073604,-138.87176532915703,-139.3423554719282,-139.39913227672986,-139.90885264035163,-139.89417364320065,-140.0529383604412,-140.35504137075316,-140.4915678161504,-141.2517645782483,-140.77041859529194,-141.7335766817888,-141.97516166884776,-141.67492642578506,-142.97861006583807,-142.92015060063503,-143.0500807763578,-143.69724940806722,-143.9977910746758,-144.2571637243764,-144.61869844659248,-144.40840838227032,-145.9304976645655,-145.78008151592445,-146.05488484503687,-146.5452520024721,-147.8057873867766,-148.26602453055662,-148.3790412255411,-148.94954775479226,-150.28261118549293,-150.02735993514352,-151.01614747620363,-152.21910443157205,-152.8269911262828,-154.36512093990532,-155.44236933866594,-157.61006444596646,-159.01576109530035,-161.2986002211878,-164.02707156607093,-168.68543546380718,-178.9741571571811,-240.25612898112172
-126.00748532086122,-128.06899693958704,-130.7001086343047,-131.84952932217448,-132.22815462347026,-132.98234831342154,-132.0947817234237,-132.23665175632033,-132.76027479335846,-132.4487408727654,-132.81813801395444,-132.74594759717775,-132.80331670352118,-133.05354454357882,-133.22121538192624,-133.03112635935616,-132.72507695955025,-133.4115102292313,-133.02952818505116,-133.50000655834526,-133.22274271692362,-133.6876633623644,-133.77304865166354,-133.60329309704264,-134.31021136641704,-133.96275721993547,-133.84927044861448,-134.53891088333089,-134.2177446513512,-134.33284822688773,-134.89868284407427,-135.1468014327106,-135.51364599232568,-135.60167934722108,-135.22525647846842,-135.52484130880956,-135.63208079636368,-135.7005019868981,-135.94245308457005,-135.75092289966537,-136.22282349557614,-136.71251438135295,-135.85085129850768,-136.494888873209,-136.84542924265588,-136.76494480065605,-136.7865674665274,-137.1583729178963,-137.70685042799428,-137.44922795850874,-137.8796045428726,-137.89725795723507,-138.08221380613386,-138.2754383109014,-138.37904569996257,-138.50076697134529,-138.98249365732232,-138.87161207493523,-139.37441387945884,-139.8090396189511,-139.73532203300542,-139.56020502781516,-140.355098828857,-140.83815512582407,-140.43074988318818,-140.8772973954801,-140.97151949762738,-141.44151722618705,-141.73504508278606,-142.21642477578973,-142.44222556101656,-142.39290026042724,-142.95280647115578,-143.62057239600756,-143.62400713601633,-143.79105816500146,-144.8862000733575,-144.61064397158404,-144.88004829952624,-145.33320614534338,-146.02487021231823,-146.60911828279234,-146.97335500239458,-147.555113880306,-147.9243767065235,-148.34403987605512,-148.97476323725368,-150.3219043076057,-150.57662040061243,-151.14160685560338,-151.82079340159547,-152.7798391676306,-154.62815349419392,-155.30335701720048,-156.60347458819103,-158.22960689519587,-161.0912743323625,-164.1566671369854,-167.98142298331734,-178.3608807506277,-239.79995389686883
-125.83639779258313,-127.82379236620284,-130.24190629352643,-131.9784764311416,-131.58163717947227,-132.45531670583847,-132.2040230533517,-132.14046847482902,-132.72454205311598,-132.00427335783507,-132.55806872159368,-133.79553763882305,-132.98810510727543,-132.81988944462665,-132.972484145634,-133.178605223047,-133.52840911869654,-133.3695668943957,-133.6766416845427,-133.74140729765261,-133.83476016637204,-134.1140133620086,-134.14015988576767,-133.78107271697533,-133.94111907310278,-134.11478726583658,-134.6634517521755,-134.24217701490724,-134.31079058215613,-134.686150548568,-134.96588530208135,-134.39005797426023,-134.94643778581562,-135.14921915738148,-135.36914033543042,-134.94839077271715,-135.5931928661335,-135.6046884553023,-135.54908735376395,-135.7220289158619,-136.1994819376436,-136.2764046690931,-136.40865270725612,-136.48046007303333,-136.4910940092518,-137.03344586777797,-136.7352437010301,-137.08096790227364,-137.67264429196615,-137.79611729438932,-137.73187764772706,-138.5149886808425,-138.44270284680127,-138.68349462427705,-138.41690703440156,-138.74504864872463,-138.968289744729,-139.0486345800025,-139.0721957043386,-139.8708752309322,-139.8685667849873,-139.9473408458564,-140.5183433897018,-140.5405313766475,-140.95628514660325,-141.02963837285319,-141.23763746965074,-141.63940328964955,-141.35543155683322,-141.99041684842857,-142.49409730543192,-142.83451858826473,-142.8517062537506,-142.93902006702675,-143.6843152830898,-143.6474373487199,-143.76599134199157,-144.65021208485422,-144.92327008129877,-145.51894856548918,-145.73243383342148,-146.55999132451794,-147.4860734652898,-147.26258803720117,-148.06086597490952,-148.02265397485732,-149.06260219631574,-150.04851242777127,-150.54079698155826,-150.96586831531272,-152.397192016192,-153.40898680127248,-153.97337008375365,-154.73463708373134,-156.81597732544938,-159.00545089686975,-160.86684152138935,-163.4524622021086,-167.9332695669952,-178.59214786141814,-240.04174744090474
-125.90075302158408,-127.96538426504198,-130.12640137372173,-132.44055583777228,-132.45605584652517,-132.22411166918494,-132.54366313793926,-133.0415512423125,-132.55074456807876,-132.89961914559237,-132.92290204487307,-132.81481959249496,-133.05369689143083,-133.1887033818113,-132.7446840982927,-132.89655694780896,-133.48956257917038,-133.41889002486886,-133.2367072536956,-133.69069970454404,-133.36779926398347,-133.13229052463248,-133.69161577754562,-133.7993952079991,-133.88913214696345,-133.79776116633855,-134.177049688604,-134.56668495565623,-134.20988168055172,-134.54280219258004,-134.22760859644845,-135.0765951899535,-134.87492364271208,-135.08802584679142,-135.25345156953682,-135.54309927315086,-135.9802929636328,-136.04959361385644,-135.75783736756748,-135.8891859940463,-136.31163550070758,-136.6509607397595,-136.4836074112972,-136.92253449741307,-137.0963671749818,-137.09098925332998,-137.1370729421181,-137.58355143190528,-137.4497774639362,-137.83244646572666,-138.064815898203,-138.31822927870348,-138.34784805775135,-138.00908560631032,-138.06117729157907,-138.53724102664486,-139.021484493926,-138.7660861790217,-139.08101043906757,-138.9100710584863,-139.9087774057102,-140.19506681087168,-140.0786527809897,-139.80072199054268,-140.50128997850828,-140.52638561922691,-141.22713888247216,-141.3470906736892,-141.2940114413274,-141.62745001707037,-142.25679536043975,-142.2923493794632,-142.3268289554305,-143.14058882528462,-143.2656018076804,-143.8766659893778,-144.41637774877125,-144.89626140865005,-145.65999080747093,-145.77687276426707,-146.2689862979855,-146.2648928723679,-146.56913660348218,-147.45037937666697,-148.31931199031843,-148.53000713853316,-149.3277800747145,-150.1485685648321,-150.23641368798624,-151.29856258216796,-152.18399487226756,-152.83047750524497,-154.52460910446052,-155.74197082126997,-157.23156272086388,-158.81089873538045,-161.15482665500738,-163.62737773145025,-168.48644386459452,-178.79010780951768,-239.92959282284392
-119.68819301076279,-121.58262713786323,-123.50759826227464,-125.57250903337501,-125.06333065082208,-125.77466315526577,-125.86415963438183,-125.85159721309309,-125.80102356814778,-126.23585598317203,-125.58579847484933,-125.80978506670951,-126.26783692185955,-126.56228905813728,-125.94748033022093,-126.17712605914377,-126.6574298902409,-126.57170073573575,-126.96341941179908,-127.01078817471904,-127.02127518478133,-126.9451278066669,-127.5463334290274,-126.94767143848053,-127.54164291697313,-127.46142423549767,-127.3826416041079,-127.48627919709568,-128.00760845090602,-127.98196592469165,-128.71875207222882,-127.6220909739942,-128.3317202875001,-128.76946869907985,-128.58031227568384,-128.73194363806667,-128.52908898965393,-128.50789378656032,-129.2768457422849,-129.52107857659934,-129.04794744069565,-129.90597146841725,-129.41950297404094,-130.6961739657842,-130.3999302483129,-130.15626521492112,-130.35102618589534,-130.53501553223757,-130.9448556210307,-130.3352250939077,-130.98018553482174,-131.01350765267043,-131.31890254651563,-131.55226240717022,-131.36758366570086,-132.04644283445796,-132.28450254419622,-131.97963076115448,-132.88771141235688,-133.25135835902475,-133.3563569022336,-133.23593851934078,-133.6668075187003,-133.43748732547147,-133.74476624930605,-134.24903791854516,-133.8272515982425,-134.3347616132223,-134.49729544202683,-134.9096248423849,-135.79802918837163,-136.00042703026742,-136.12490539988283,-136.35320955904433,-136.55933666968963,-136.85375084764385,-137.57139504070796,-137.95453691816383,-138.30949642700568,-138.85257134375723,-139.57644394719003,-139.42607162849632,-140.68231370774993,-140.96764162301352,-142.04000929630388,-142.48267880373533,-142.1529520808838,-143.28739615220817,-143.94077595160215,-144.38984474511017,-145.28104000375305,-146.59130290749556,-147.46253517300727,-148.640807142999,-150.43047186753876,-151.94005019717252,-154.39690987112579,-157.6214326873129,-161.21629436836628,-171.30527414069775,-239.90427816076374
