0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-120.24263933756457,-122.58562495220737,-124.52605342692496,-125.15425003363815,-126.54412308239888,-126.19695544737742,-126.96664475080846,-126.43472407393679,-127.00918622066371,-126.88055489118535,-126.77938349777975,-127.17111907155133,-126.78026741122768,-127.2385760619127,-126.75455362432102,-127.19063235113117,-127.86865633395263,-127.97339819901852,-127.32250413261293,-128.15224934777348,-127.68737875475823,-128.3844516204781,-128.19789634264362,-127.9924501207413,-128.0788273778733,-128.74860010787572,-128.41687356282657,-128.4802292193597,-129.11405732832802,-129.19658892279173,-129.63208502374195,-129.2528352960732,-130.00620400926456,-130.02390463180106,-130.07298914452852,-130.07783716582787,-130.39529396100778,-130.0689231184939,-130.1767542253666,-130.42461722239855,-130.04715042833686,-130.79254449557774,-130.74845482251746,-131.1794105058432,-130.9599734269473,-131.23909475670354,-131.18740841242095,-131.5860706175747,-131.71849768704726,-132.01224243640743,-131.85126715396572,-132.32938941598402,-132.1320726453005,-132.77763739206418,-133.00208694698406,-132.98593768666598,-133.21302828011812,-133.90166114439708,-133.46014021147138,-133.7938533003583,-133.95595028804388,-134.21015324265534,-134.81428737044783,-134.8272007855289,-134.773987648606,-134.88193803019223,-135.42354272936922,-135.5402965953438,-136.0616774845644,-136.67262244448165,-136.17191575948053,-136.58677574260247,-136.6467115339416,-137.52762829777447,-137.60578042849923,-138.0008495025958,-138.90839558780306,-138.93237889804735,-139.43439800658118,-139.5738041873489,-139.61157667716486,-140.7580581757479,-141.10586595109191,-141.10871598487094,-142.5536763958477,-142.57941324370847,-142.84800035824813,-143.8181536400335,-144.10374256629646,-145.757336539725,-146.7902041359018,-147.79527817306717,-148.56572457858755,-149.86425759206315,-151.3975524956301,-152.81441521896434,-155.50912514682165,-158.59696096827847,-162.84456485598787,-172.96976846275408,-240.20873295309383
-120.39181675401953,-122.74788624770135,-124.9777227962658,-126.40091532075084,-126.39151926210036,-126.63648365360007,-127.19201364737215,-126.9620869128101,-126.76030131133024,-127.2618236245187,-127.47084222148894,-126.6278612709578,-127.32679269434988,-127.61466585369944,-127.13886799287704,-127.35131592211035,-127.53940624470084,-127.47590802066412,-127.30860643527559,-127.65831225618494,-127.48700707395388,-127.65997832867066,-128.24057375302658,-128.2582853243648,-128.18398790769254,-128.18727501608734,-128.36319249549038,-128.67712453574686,-128.66095966909396,-128.79734204032624,-129.04437874717433,-128.8224403324947,-129.46617706464238,-128.95822232118735,-129.8006930336073,-129.63770299684447,-129.68527238221242,-130.21996180865375,-130.5677398891482,-130.87394537419374,-130.83026342828703,-131.05170194002568,-130.94958823752137,-130.76505203307568,-131.177003966132,-131.10356410755637,-131.76495205625181,-131.61621249217384,-131.5678896061984,-131.80052793432648,-132.23829845624627,-132.34744128694498,-131.898181573758,-131.96430701185412,-132.71463676857314,-132.98704783996183,-133.03932085662473,-132.9565577626722,-133.47109645259277,-133.63995173535272,-133.62508953833918,-133.83039708310005,-134.32055509576716,-134.33864707195767,-134.73875728562143,-135.57942431844572,-135.34493091365638,-135.52827753119655,-135.77595580945632,-136.19248760387234,-136.47211533516108,-137.39382161122083,-137.05728137356456,-137.44993537338965,-137.65535287253442,-138.0937270489211,-138.5854143572691,-138.39560313889257,-139.59743983244636,-140.0528934005862,-140.5694070165564,-140.97733709390582,-141.01309421803646,-141.62011248060062,-142.88934667190608,-142.39392105544647,-143.40471564007717,-143.75848566549388,-144.52180061183495,-145.94178510846348,-146.1336350349974,-147.3758579573019,-148.0033558126585,-149.51555147626223,-150.99281580185388,-152.78882263629822,-155.02145778131813,-158.57188404503736,-161.97134812265566,-173.41816421219625,-239.86078897236
-125.47630565333314,-128.60781391714352,-130.2263365300643,-131.7182038284398,-131.52316200062774,-132.38042431904938,-132.23520890266542,-133.16829491462676,-132.40166203665436,-132.92637395260257,-132.05863348621688,-132.86964747150728,-133.9352691596969,-132.4522440591473,-132.8228525219667,-133.60856612894324,-133.21348883996387,-133.281009090643,-133.25844146054223,-133.45926107319355,-134.75964350418903,-134.19275043128818,-133.44821609574393,-134.17645721284393,-134.18560330913218,-133.97592640432504,-133.4906918789914,-134.26812134636762,-134.56424216099853,-134.66066087998905,-134.64841413397312,-135.13528866335753,-134.97243822441854,-135.21073133998442,-135.28504994575607,-135.3490809781657,-135.60101717895378,-135.42372123281643,-135.83505808181508,-135.2217598570357,-136.06073170869985,-136.1271601331963,-137.29377392777943,-136.52547242368425,-136.65632846128005,-136.7174250180741,-137.45656564758568,-136.97985637390764,-136.97744308671977,-136.7761238115521,-138.07913182609371,-138.2239728429352,-138.18542876739548,-138.2563911547022,-138.5628026033738,-138.81615628092933,-138.74499202908947,-138.99829328278716,-139.47289878996216,-139.58148535384012,-139.9225592055542,-139.72024644022497,-140.24609639011115,-140.14997253378152,-140.49943523032525,-141.12392481029815,-140.90136524074137,-141.395114667132,-141.61262350294274,-141.92441412749164,-142.23229245228782,-142.7172887623574,-142.611574408485,-143.53318414833396,-143.88262013377124,-143.9443413251049,-143.7598325482487,-145.04481744715284,-145.0339866010644,-145.3833883278393,-146.84788253965522,-145.8606722119888,-146.46364972145096,-147.4531881860265,-148.11029192121467,-148.03746315139443,-148.81388953640183,-149.93155949389933,-150.8526356246445,-151.5197513390663,-151.12443871481216,-152.78973533760848,-153.98777690394724,-155.34269077055788,-157.56628822087075,-158.3577987203571,-160.81695299273431,-163.26269053072838,-168.4903090003129,-178.0468225822118,-239.976055010354
-126.69391357060687,-127.79646478222767,-130.09157799399384,-132.82505705787102,-131.45147953703653,-132.2564378595459,-132.48437090053358,-132.65540474380308,-132.25845465107255,-131.81446508433186,-132.2902787148144,-132.41444638981002,-133.35268522705837,-133.04238504337425,-133.48349465579548,-133.09490628369136,-133.5108728062074,-133.8811801729016,-133.34723214755624,-133.4286349949795,-133.16272525611333,-133.3508196264206,-133.97808567648448,-134.0417967762766,-133.87756080304518,-134.81428565558582,-134.00943877660947,-134.53202911139104,-133.6754998794136,-134.97275336317674,-134.9053968765632,-135.04263493100456,-134.9728801361185,-134.79750872075616,-135.58265052205022,-135.24590956888386,-135.00791613547298,-135.88816720357812,-136.20903286979748,-135.9540740754544,-135.6257458960483,-135.73629709257347,-136.5558712600468,-136.81643888799698,-136.6048251580264,-136.9645209102888,-136.87758594245133,-137.3189231719255,-137.5996352122409,-137.60144377740934,-137.9631295645023,-137.71038013691668,-137.85062861782063,-138.16806618870612,-138.517503230791,-138.9599118363254,-138.37506820657282,-138.4427692338923,-139.57520272363985,-139.94081810276782,-139.78874579573443,-140.47669729192003,-140.22844949622748,-140.07932956456852,-140.39100988497452,-140.72783272766708,-140.64839051296516,-141.56468663024023,-141.4454065152704,-141.93886006923938,-141.98877649211806,-142.59894079509314,-143.108119587419,-142.5326943476075,-144.0861822173025,-143.7004714340024,-143.97815453108203,-144.42870752677032,-145.29097568886357,-145.61879493204512,-145.540541982255,-146.20562867947805,-147.2337028373499,-147.20918920883258,-148.03986281955136,-148.26952320497037,-148.56562061098643,-149.7120835138292,-150.78773594502553,-151.36902439860887,-151.75962304726414,-152.92564713020627,-154.34807149810464,-155.84089898871397,-156.99111896341478,-157.7535439102226,-160.3761336549959,-163.77043575736968,-168.46851495098497,-178.84459767126668,-239.9645157935915
-120.28207511983345,-122.0278918553695,-124.29048239873579,-126.53869653565216,-125.69679781616246,-125.80488651072659,-125.61050226804139,-127.024797875149,-126.86998497309992,-126.73809571622988,-126.72886327791109,-127.11688750424013,-126.84338219024477,-127.02459275838815,-127.87975615413997,-126.64048025933232,-126.9322435283587,-127.46343790593377,-127.20061855869193,-127.97433205688208,-127.5860988384028,-127.4880802313031,-128.00509130949175,-128.25374644593347,-128.53504922855117,-128.40620382166378,-128.7618912809092,-128.23097810398295,-129.58835301111267,-129.1999972173903,-128.85981070205833,-129.1279691128262,-129.3312439553169,-129.85016923689955,-129.71425553597663,-129.6000974675136,-130.20166548749484,-130.08558507080048,-130.65965518296252,-130.56878116727532,-130.75734138047008,-130.49810328316264,-130.88758315470957,-131.22547989985628,-132.0129192708211,-131.4194068369881,-131.23073504817341,-131.86623417924542,-132.0539532822685,-132.48527088434813,-132.28926802264647,-132.24984907960916,-132.0304948433161,-132.57400890489762,-132.59581981626488,-133.2105606832238,-133.35079365255973,-133.49412985582228,-133.3706646033391,-133.62120314165355,-134.37115435293398,-134.0957559156211,-134.44154466905414,-134.70122973606647,-134.56925997996115,-134.97766137763745,-135.25806870289753,-135.66602541166765,-136.04878450896987,-135.99626547209374,-136.0361670439974,-136.74686777408326,-137.31259592995556,-137.33645693641748,-137.3322098317662,-138.0952484850098,-138.5366091266007,-139.04352268241394,-139.28160371091323,-139.61122639436167,-139.77321215680544,-139.79176680389494,-141.16236453152507,-141.10043055965417,-142.0384175325145,-142.70996577593624,-142.9112716717244,-144.31554362797752,-144.58065843943825,-145.75631208120635,-146.0534531281068,-147.45342134876523,-148.60173804191405,-149.53925866701658,-151.15047506060208,-153.09431268267585,-154.62521459194352,-158.22077706619763,-163.02449994186375,-172.64974616182258,-239.90091243876202
-120.12885860299502,-122.61088851598721,-125.06352141241025,-126.35913912167437,-126.47223036797212,-126.21651705893888,-126.39903970091194,-127.29950570476142,-126.79049975901323,-127.35431751316484,-127.11957199572907,-127.67089156505213,-126.92290894758361,-127.65750607003376,-127.35018634784639,-127.90132777514054,-127.8476183809252,-127.58271912744104,-127.97105716744912,-127.54316245203772,-128.14896858675453,-127.93436465969408,-128.55940260401528,-128.2871920068322,-128.47771541473102,-128.64841504050273,-128.5761527805315,-128.70678116234762,-128.92748508681373,-128.62778853532495,-128.90223624188,-128.9590208131538,-129.3329445405426,-129.50890243546763,-129.48712865374785,-129.36748045737502,-130.26568300026125,-130.2209588106302,-130.34511279202664,-130.13465226642177,-130.3962633020559,-130.73183096800653,-130.60366288307478,-130.81300223478146,-130.92890973680736,-131.28918330085128,-130.95193380219678,-131.7627043249081,-131.3991810999747,-131.90557637093062,-132.42218006800852,-132.21895415821245,-132.15510809072887,-132.40544480367583,-133.13292385702712,-133.35152841991228,-133.32808172684892,-133.69930099142186,-133.4719801819118,-133.77602493362158,-133.88967635114753,-134.40823981963104,-135.21860050416169,-135.09062532695685,-135.25617831170246,-135.98484413954515,-135.64748226499867,-135.6205475756742,-135.92377994155854,-136.0084915456564,-136.88825979061593,-136.97994697952686,-137.59531180014588,-137.20062328098686,-138.42906916222438,-138.167594391916,-138.0916496290379,-139.08014387090535,-139.24471879608316,-139.27918546276072,-140.11445837644442,-140.86885672295065,-140.9269563895221,-141.48230627412718,-142.30923405796145,-142.7873017747912,-142.35294038666424,-144.07964513458393,-144.96857938837073,-145.2743910777584,-146.41340264891485,-147.49423427256653,-148.43736513626519,-149.6288121420908,-151.2599490683231,-152.64440295388178,-155.37045648822846,-157.66273255014514,-162.40186288713772,-172.76415909521594,-239.95515405628845
-120.6218411364032,-122.1155995592367,-124.24309728088981,-126.01283936292593,-125.91025661359491,-125.96692784639409,-126.94853004051274,-126.77720445816954,-127.08533369604694,-126.61360104519696,-126.3767285069158,-126.62807879181155,-126.6446019421231,-127.27255753016102,-126.76501633669542,-127.38268857236913,-127.25259220865755,-127.58190255951901,-127.6274030773267,-127.7795702143555,-127.62818601297033,-128.58567789680433,-128.43538674808337,-127.68923322859332,-128.7432524382259,-128.61383166216766,-129.01469339738074,-129.03602810594333,-129.24909217242282,-129.4325850578339,-129.69082681878746,-129.1500915175041,-129.26704346053964,-129.38319350180163,-129.5715285116703,-129.73517580209452,-130.30002246560724,-130.28628689992632,-130.20462089746857,-130.73614938305258,-130.53901747255918,-130.53260803085425,-130.90531300363455,-130.98244729738806,-131.40824414631155,-131.26373667546923,-131.70588553904966,-131.19126251276128,-131.5525638867175,-131.72245001032104,-131.76714691343045,-132.51103042414695,-132.13942107344133,-132.0905927760618,-132.84887062394438,-132.59920252853252,-133.45553633192065,-133.50733212201376,-133.69129841441605,-134.0701862432664,-134.1136159835891,-133.46900410730396,-134.8031818768388,-134.78141757342175,-135.09700314520444,-135.1694983691386,-135.41507960421708,-135.77802044733332,-136.03211636735116,-135.98249216671877,-136.47496777817457,-137.2129753885083,-137.324532680528,-137.59327356555545,-137.91783861648193,-138.55674933364404,-138.86320034471868,-139.2757946248479,-139.46662650920683,-139.49494745351817,-139.74684345602913,-140.72523962718859,-141.0822113912363,-141.73780749469861,-141.94630015259722,-142.16828184018905,-143.42859020965219,-144.30881957307625,-144.76415390795725,-145.62055793375202,-146.32378997900287,-147.80727310698447,-148.3456720868014,-149.6853057685755,-150.99540745553648,-152.89712374790727,-154.9528650385285,-157.7721714503681,-162.86560591812295,-172.46205911223004,-240.0127502812037
-108.8454054259258,-110.72655636900922,-112.52706848130465,-114.14417541014993,-114.34659051326261,-114.29892436207865,-114.66529225153411,-114.69385281749705,-114.75181107915898,-114.72370118007193,-115.32763922119213,-115.19005176584612,-115.14436188568709,-115.35485845263194,-115.5221620954741,-114.87426429847164,-115.77718223676942,-116.3120418146698,-115.66268576728727,-115.3038657939852,-115.78560991898935,-116.44592036006352,-115.84684326908085,-116.45069198384944,-116.29210396683555,-116.7388705967401,-117.4000505873261,-116.84153415496037,-116.65152558971897,-116.86555645213919,-116.70196079434123,-117.19588204510626,-117.34077846517864,-117.79583607126051,-117.65758577512986,-117.65883463564005,-118.41329676349788,-117.94938764918196,-117.73347774932896,-118.3093750223126,-118.83291064275501,-118.0866547466046,-118.8261635630624,-119.03167494217121,-119.42003092629747,-119.16445079668286,-119.9963933803868,-119.84501269697213,-119.56023525519943,-119.8839881875356,-120.28688704550389,-120.69639959951809,-120.25277194980055,-120.46210760312373,-120.52530393254364,-121.382027653623,-121.03378713140887,-121.36121246916254,-121.75836538306919,-121.0330210796503,-121.96542777591706,-122.40626552344573,-122.37678662174426,-123.31478272388061,-123.48218388489566,-122.78027052866734,-123.72951238921655,-123.50313241134984,-124.4386437446104,-124.28679737607965,-124.61425348416796,-125.25775286001875,-125.26309667314659,-126.0718523280783,-125.15872056516339,-126.14186611925567,-126.56713776646934,-127.01265053730154,-126.23035373758528,-127.6170590514501,-128.01343493569053,-128.1217679189723,-128.75240103054716,-129.69311783053575,-130.32216757111163,-130.34538314954003,-131.80698100875338,-132.41972226171984,-133.27398855868103,-133.4647641546763,-134.5032610164292,-135.87481036918751,-136.23295267132562,-138.27369556699156,-139.09822825677116,-140.74251922187798,-143.3057310577563,-145.98161943113178,-150.684072230053,-160.83272148065856,-239.85646392683208
-120.4282671518972,-122.6299305050808,-124.35040741050068,-126.57493761027239,-126.93135675196363,-127.08299516795142,-126.19504540713757,-126.40578677386236,-126.81837281370241,-126.66244394000483,-127.09626785133823,-127.02690485892762,-127.50540081207473,-126.5214884358349,-127.80046077335939,-127.6764288229378,-127.76087836215501,-127.90432672046752,-127.41923550343554,-128.09276505078134,-128.0973383548575,-127.7527059848914,-128.5386550229561,-128.50270346713978,-128.2264104859359,-128.76997199650089,-128.23918530557012,-128.7791681577955,-128.6884819158728,-128.85505882426472,-128.77292565508222,-129.61557243557073,-129.48558121658252,-129.39814414690977,-129.7662087971731,-130.05332015694336,-130.22366395300142,-129.714724066451,-129.80683611956076,-129.82271569793136,-129.93773402497195,-130.63599039425085,-130.56605701438014,-130.62002709356352,-130.89287336258923,-130.27811844199476,-131.1804590653556,-131.351521714742,-131.21621883451002,-132.1924877053729,-131.5419584438438,-131.9990980168072,-132.11269567661154,-131.9530175632326,-132.8101187250215,-132.5378512830105,-132.5440835893041,-133.47473099667283,-133.35360216059132,-133.77290684981455,-133.61375274557165,-134.2289823968358,-134.0932480690455,-134.80470756897333,-134.96330115670892,-135.60639157168183,-135.26520264675835,-135.4025938153566,-135.62529338636432,-136.83304070175447,-136.4612194033132,-136.8359284005567,-137.05726286848306,-136.8814933393224,-138.01563608543444,-138.25770665920544,-138.63964500578322,-139.41850558571386,-139.30244608679723,-139.81214964673555,-140.64629017394975,-140.81560332131681,-140.59767349817707,-141.42878162079353,-142.21538710312993,-142.6016722139987,-143.36323148493358,-144.39914259227157,-145.1570559878438,-145.92969788635932,-147.13126501590972,-147.05968264804295,-148.56079663036937,-149.25266149427583,-151.26903443350471,-153.0940429688014,-155.47745777404785,-157.9096943635288,-162.57593236165766,-173.26528246611088,-240.41919295601437
-120.73157231261256,-123.00673716537007,-125.05535732647121,-127.02797906613843,-126.99043300963,-126.36685325890201,-126.84475270238168,-127.26057611702682,-126.95122905989831,-127.25989222223646,-126.73583908959338,-127.2842079388012,-127.0569608790627,-126.50086112502974,-126.85577368017312,-127.73155775797755,-126.91621013183448,-127.7162070004157,-127.4026886138938,-127.72273949275495,-127.68428747381692,-128.0833810461356,-128.4534719324749,-128.0945456069618,-127.91461470948087,-128.50262229640825,-128.15988113865097,-128.30040842494145,-128.70040696732656,-128.89998511087902,-129.00249717868277,-129.4498714192964,-129.30596648634057,-129.1577395200836,-129.1742191061607,-130.08026285571424,-130.22437338614733,-129.98539850711677,-130.16276848339456,-130.4095156123949,-131.09408211996055,-130.4551862153401,-130.8038113837023,-130.91873989341275,-131.72789713700007,-131.50514542182813,-131.32441971913667,-131.4122124403588,-132.1358918763058,-132.14751470495003,-132.03305834349413,-132.20048145458642,-132.27294572849675,-132.89736442712157,-132.60314785270776,-132.95931742388072,-133.27404930423202,-133.37528254258697,-133.2596302489674,-133.24621458337765,-133.4220844176337,-134.49204140154362,-134.5726173770232,-134.69439339331498,-134.84933961411315,-134.48549720102443,-135.86149267313343,-135.4628407442025,-135.63527511285616,-136.30611372832678,-136.59640941958907,-136.8484272580899,-136.5234935870056,-137.10787518158529,-137.9430063036634,-138.15552101904643,-138.67142848722648,-139.07243417647143,-139.20148301232152,-139.29022236367913,-140.35159095521794,-141.00001678392832,-141.4412523825762,-141.8096190419144,-142.11167561999633,-143.00526282061548,-143.44883837165347,-144.18424209684864,-144.6803525379532,-146.0692310808575,-146.7413123923166,-147.57137041788778,-148.6971409791738,-149.57015312767257,-150.61946314460147,-152.70410493095775,-155.2745488735141,-157.7520623009805,-162.71293571805518,-172.99530785842737,-239.97768807990803
